,t0,tf,p_l
0,0.15,0.764,[-0.27813589  0.          0.06506469]
1,0.632,1.2650000000000001,[-0.07730761  0.          0.05360363]
2,1.139,1.756,[0.11730354 0.         0.069682  ]
3,1.619,2.259,[0.33304072 0.         0.03345692]
4,2.12,,[0.20990483 0.         0.02266995]
