x,y
-0.6923076923076924,237142.85714285716
-0.6634615384615385,188571.42857142852
-0.6634615384615385,91428.57142857142
-0.6442307692307694,-11428.57142857148
-0.5961538461538463,220000.0
-0.5961538461538463,345714.2857142857
-0.5769230769230769,225714.28571428568
-0.5480769230769229,131428.5714285714
-0.5096153846153846,45714.28571428567
-0.47115384615384626,114285.71428571429
-0.4038461538461538,2857.1428571428064
-0.30769230769230765,-5714.285714285782
-0.1634615384615385,-0.0
-0.009615384615384583,19999.999999999985
0.07692307692307723,65714.28571428565
0.25961538461538475,39999.99999999997
0.39423076923076916,8571.428571428503
0.5576923076923078,-22857.142857142873
0.7211538461538459,8571.428571428503
0.9230769230769228,17142.857142857094
1.1249999999999998,14285.714285714286
1.3173076923076925,28571.428571428572
1.4711538461538465,42857.142857142855
1.6057692307692308,45714.28571428567
1.7692307692307696,45714.28571428567
1.9134615384615388,37142.85714285708
2.2980769230769234,19999.999999999985
2.4615384615384617,37142.85714285708
2.701923076923077,79999.99999999994
2.8269230769230775,117142.8571428571
2.9230769230769234,182857.14285714284
3.009615384615385,268571.4285714285
3.028846153846154,345714.2857142857
3.2019230769230775,488571.4285714285
