time,hip_flexion_r,hip_flexion_r_id,hip_adduction_r,hip_adduction_r_id,hip_rotation_r,hip_rotation_r_id,ankle_angle_r,ankle_angle_r_id,hip_flexion_l,hip_flexion_l_id,hip_adduction_l,hip_adduction_l_id,hip_rotation_l,hip_rotation_l_id,knee_angle_l,knee_angle_l_id,ankle_angle_l,ankle_angle_l_id,
3.6,-423.907,-81.4324,-258.184,22.8062,280.578,-1.90376,-1.68976,-51.8243,-188.67,-113.459,-167.412,17.174,52.2711,-8.63023,-38.0403,44.0924,-58.0421,-65.6638,
3.605,-306.21,-81.1593,-66.9013,19.8156,140.631,-1.55021,-0.927523,-52.5323,-183.429,-112.095,-168.765,20.1626,57.2121,-8.38794,-42.2992,44.1799,-51.9668,-65.9109,
3.61,-442.113,-80.527,-267.741,12.9309,289.055,-0.174705,1.51013,-48.2529,-210.013,-108.302,-160.917,25.3623,55.4242,-8.72041,-52.6398,43.09,-53.0157,-65.2723,
3.615,-345.277,-79.8411,-99.7066,12.0837,171.292,-0.379455,1.54736,-47.9345,-220.74,-106.241,-157.474,25.2451,56.2491,-8.69392,-57.6029,41.0643,-51.2218,-64.3022,
3.62,-451.696,-78.0317,-269.317,10.0647,289.341,-0.864851,2.36814,-46.6927,-225.909,-106.16,-154.933,30.3322,57.5305,-9.14678,-58.9535,40.7049,-49.5306,-63.258,
3.625,-377.238,-76.8459,-132.899,8.84547,206.843,-0.639104,2.70494,-44.099,-228.861,-104.729,-153.227,30.3187,59.1554,-8.81289,-58.6692,38.6492,-47.6696,-61.9996,
3.63,-451.45,-77.7573,-262.772,8.94374,282.328,-0.237139,2.62045,-43.085,-231.389,-105.835,-151.889,29.0816,60.9449,-8.73039,-58.0609,37.0638,-45.6685,-60.7061,
3.635,-398.567,-78.0813,-165.014,9.82583,231.973,-0.0443378,2.24243,-41.958,-234.041,-107.019,-150.721,27.8342,62.8153,-8.66961,-57.6947,35.2159,-43.5724,-59.2422,
3.64,-451.895,-74.9341,-257.759,8.56756,284.186,-0.615167,1.69669,-38.3016,-236.979,-108.241,-149.655,26.6311,64.7285,-7.90802,-57.6659,33.9145,-41.409,-58.3642,
3.645,-436.987,-74.1582,-233.02,10.3113,267.027,-1.24985,1.03388,-37.96,-240.165,-110.879,-148.661,29.0649,66.6553,-8.52314,-57.9998,34.0757,-39.2052,-58.044,
3.65,-448.343,-73.8545,-248.245,9.7029,282.42,-0.974149,0.30729,-35.1941,-243.603,-112.079,-147.726,24.1555,68.5925,-7.67787,-58.607,31.4635,-36.9739,-56.1218,
3.655,-450.87,-74.279,-250.588,9.82075,286.94,-1.23597,-0.469821,-34.4484,-247.222,-115.081,-146.853,24.6599,70.5384,-7.54629,-59.3791,31.6416,-34.7444,-56.1046,
3.66,-452.563,-76.3431,-251.928,10.008,290.724,-0.459029,-1.28072,-33.1123,-250.957,-116.429,-146.022,21.6563,72.4882,-7.38963,-60.2752,29.8356,-32.548,-54.7132,
3.665,-454.213,-78.3259,-253.263,10.7732,294.789,-0.563734,-2.12177,-31.8142,-254.735,-118.7,-145.232,16.0446,74.4644,-5.78928,-61.1915,28.0334,-30.4213,-53.4581,
3.67,-455.73,-80.2153,-254.456,8.21556,298.989,0.559722,-2.98329,-28.0155,-258.491,-118.875,-144.458,11.7611,76.462,-5.91316,-62.0867,25.6871,-28.3981,-52.3265,
3.675,-456.995,-85.8342,-255.382,11.9905,303.097,0.640591,-3.88776,-28.3149,-262.193,-120.252,-143.682,9.3072,78.466,-5.88549,-62.9175,23.8561,-26.4834,-50.5336,
3.68,-457.997,-88.0662,-256.033,11.1034,307.137,0.653828,-4.80332,-27.6803,-265.775,-125.996,-142.882,12.1058,80.4871,-5.90979,-63.6439,25.3826,-24.7055,-50.9334,
3.685,-458.684,-91.914,-256.368,11.5604,310.993,1.00954,-5.75086,-26.4897,-269.298,-129.019,-142.072,12.0833,82.5017,-5.76661,-64.2457,24.5208,-23.0832,-49.2447,
3.69,-459.05,-95.6831,-256.387,10.8545,314.65,2.1108,-6.73844,-26.3607,-272.458,-135.666,-141.117,14.0722,84.5444,-5.62078,-64.7287,25.2013,-21.6118,-48.7262,
3.695,-459.081,-95.597,-256.091,8.35243,318.052,1.69012,-7.75274,-25.0401,-276.189,-138.913,-140.342,12.5959,86.3935,-5.47887,-65.0685,25.5855,-20.2891,-48.9913,
3.7,-458.751,-98.4067,-255.455,7.5168,321.128,3.05522,-8.78792,-23.9348,-277.734,-140.422,-138.678,15.1225,88.5243,-5.66749,-65.2588,23.5646,-19.1417,-46.4523,
3.705,-458.05,-101.693,-254.481,7.50163,323.82,4.32555,-9.85465,-24.1871,-281.21,-144.672,-137.839,17.4535,90.2151,-5.64657,-65.2407,23.7699,-18.1601,-46.5667,
3.71,-456.607,-97.4109,-253.227,8.14011,326.137,2.2057,-10.937,-22.5715,-284.299,-147.323,-136.371,17.8345,92.2117,-5.47733,-65.3306,22.152,-17.3448,-45.2183,
3.715,-455.575,-96.9636,-251.646,8.39398,328.029,2.60989,-12.0258,-22.6272,-285.477,-148.114,-135.665,16.8536,93.786,-5.24192,-64.4609,20.4139,-16.7014,-44.3406,
3.72,-453.833,-95.8288,-249.86,7.86666,329.546,2.66671,-13.1114,-22.1878,-289.192,-153.441,-134.199,19.242,95.7437,-4.84807,-64.3717,20.1458,-16.2252,-43.8573,
