mtu,synergy1,synergy2,synergy3,synergy4,
addbrev_r,0.188765,0.358405,0.15743,0.348182,
addlong_r,0.188765,0.358405,0.15743,0.348182,
addmagDist_r,0.188765,0.358405,0.15743,0.348182,
addmagIsch_r,0.188765,0.358405,0.15743,0.348182,
addmagMid_r,0.188765,0.358405,0.15743,0.348182,
addmagProx_r,0.188765,0.358405,0.15743,0.348182,
bflh_r,0.112412,0.0213205,0.0923361,0.0670329,
bfsh_r,0.112412,0.0213205,0.0923361,0.0670329,
edl_r,0.0236494,0.0148579,0.0498781,0.0114942,
ehl_r,0.0561554,0.171366,0.525257,0.0231264,
fdl_r,0.122311,0.0207127,0.00519056,0.0317142,
fhl_r,0.208158,0,0.000969798,0,
gaslat_r,0.0161024,0.0315159,0.0660556,0.0561502,
gasmed_r,0.0161025,0.0315171,0.0660543,0.0561498,
glmax1_r,0.11888,0.051854,0.0464951,0.000264465,
glmax2_r,0.11854,0.0517097,0.046422,0,
glmax3_r,0.118814,0.0517822,0.0464865,0,
glmed1_r,0.11888,0.0519591,0.0464764,0.00115266,
glmed2_r,0.11854,0.0517097,0.046422,0,
glmed3_r,0.118972,0.0519469,0.0464692,0,
glmin1_r,0.11888,0.051854,0.0464951,0.000264465,
glmin2_r,0.119113,0.0520602,0.0464871,0.000154147,
glmin3_r,0.11854,0.0517097,0.046422,0,
grac_r,0.188765,0.358405,0.15743,0.348182,
iliacus_r,0.0951571,0.00942474,0.125771,0.0832411,
perbrev_r,0.352486,0.00734994,0.0192985,0.0229526,
perlong_r,0.425988,0,0.00483543,0.0108905,
piri_r,0,0,2.74843e-05,0,
psoas_r,0.0951637,0.009422,0.125782,0.0832369,
recfem_r,0.095164,0.0094219,0.125783,0.0832368,
sart_r,0.095163,0.00942236,0.125781,0.0832375,
semimem_r,0.112412,0.0213205,0.0923361,0.0670329,
semiten_r,0.112412,0.0213205,0.0923361,0.0670329,
soleus_r,0.0161024,0.0315157,0.0660559,0.0561502,
tfl_r,0.0949662,0.00917554,0.126087,0.0825667,
tibant_r,0,0.276691,0.144125,0.00284785,
tibpost_r,0.136766,0.0186346,0.000900697,0,
vasint_r,0.290771,0.0402985,0.170613,0.42469,
vaslat_r,0.290771,0.0402985,0.170613,0.42469,
vasmed_r,0.290771,0.0402985,0.170613,0.42469,
addbrev_l,0.176159,0.39062,0.141141,0.367982,
addlong_l,0.176159,0.39062,0.141141,0.367982,
addmagDist_l,0.176159,0.39062,0.141141,0.367982,
addmagIsch_l,0.176159,0.39062,0.141141,0.367982,
addmagMid_l,0.176159,0.39062,0.141141,0.367982,
addmagProx_l,0.176159,0.39062,0.141141,0.367982,
bflh_l,0.205614,0.000339703,0.0732037,0.002325,
bfsh_l,0.205617,0.000339642,0.0732036,0.00232157,
edl_l,0.0809949,0.0758765,0.00926555,0.0529346,
ehl_l,0.0845793,0.061577,0.0546068,0.0611961,
fdl_l,0.0581485,0.0188364,0.0709269,0.0863299,
fhl_l,0.0943327,0.0363102,0.0907704,0.0317609,
gaslat_l,0.0200937,0.0410879,0.0130701,0.000577925,
gasmed_l,0.0200937,0.0410879,0.0130701,0.000577925,
glmax1_l,0.095292,0.0186193,0.0410572,0.00966444,
glmax2_l,0.10165,0.0254147,0.0439198,0.00292796,
glmax3_l,0.105275,0.0263765,0.0452326,0,
glmed1_l,0.10165,0.0254147,0.0439198,0.00292796,
glmed2_l,0.105275,0.0263765,0.0452326,0,
glmed3_l,0.10165,0.0254147,0.0439198,0.00292796,
glmin1_l,0.095292,0.0186193,0.0410572,0.00966444,
glmin2_l,0.105275,0.0263765,0.0452326,0,
glmin3_l,0.105275,0.0263765,0.0452326,0,
grac_l,0.176159,0.39062,0.141141,0.367982,
iliacus_l,0.0147882,0,0.114151,0.114021,
perbrev_l,0.0813529,0.061821,0.0303904,0.0712686,
perlong_l,0.0501963,0.0726754,0.0618572,0.0859791,
piri_l,0,0,0,0,
psoas_l,0.0147882,0,0.114151,0.114021,
recfem_l,0.0147882,0,0.114151,0.114021,
sart_l,0.0147882,0,0.114151,0.114021,
semimem_l,0.205616,0.000339663,0.0732036,0.0023232,
semiten_l,0.205614,0.000339724,0.0732037,0.00232626,
soleus_l,0.0200937,0.0410879,0.0130701,0.000577925,
tfl_l,0.0147882,0,0.114151,0.114021,
tibant_l,0.054996,0.0803695,0.0758893,0.0156739,
tibpost_l,0.0495716,0.0748916,0.068111,0.072914,
vasint_l,0.203648,0.0109875,0.159554,0.332459,
vaslat_l,0.203648,0.0109875,0.159554,0.332459,
vasmed_l,0.203648,0.0109875,0.159554,0.332459,
