name,body,location
Gmax1_at_pelvis_r,pelvis,[-0.05691624373384369 -0.07349050325435685  0.09643559345281925]
Gmax3_at_pelvis_r,pelvis,[-0.07231516000496005 -0.08844213239042603  0.07516824306295306]
Post_at_pelvis_r,pelvis,[-0.05553140283675256 -0.07123463478077198  0.07449181151912086]
Gmed_at_pelvis_r,pelvis,[-0.03017456209815465 -0.05308462506793093  0.10026914058184888]
Gmax1_at_pelvis_l,pelvis,[-0.05427089709882859 -0.07639493452082784 -0.10157328038075446]
Gmax3_at_pelvis_l,pelvis,[-0.06961945518063524 -0.089919471280382   -0.0797247456374802 ]
Post_at_pelvis_l,pelvis,[-0.0535035484011612  -0.07250571622863013 -0.07729017440815847]
Gmed_at_pelvis_l,pelvis,[-0.028946334167067   -0.05259570699396851 -0.10399312837729073]
PS_at_brim_r,pelvis,[-0.06810610470000784 -0.06153392090498437  0.0734279069605153 ]
PS_at_brim_l,pelvis,[-0.06698841595756123 -0.06067329705187847 -0.07533743361887267]
IL_at_brim_r,pelvis,[-0.06603416753834634 -0.06398970845364363  0.0835879595844264 ]
IL_at_brim_l,pelvis,[-0.06456090787824068 -0.06462680372513034 -0.08684709304890888]
GasLat_at_condyles_l,femur_l,[ 0.00566926165627526 -0.3992002287696817  -0.00144238381627408]
Flex_at_femhead_r,femur_l,[-0.00553083721094422  0.00054909239186753  0.00977691123085023]
GasMed_at_condyles_l,femur_l,[ 0.00566926165627526 -0.3992002287696817  -0.00144238381627408]
KnExt_at_fem_l,femur_l,[-0.00218313626670553 -0.3911046759946893  -0.00334440671068785]
KnExtVL_at_fem_l,femur_l,[-0.00441906076119906 -0.3906396500027698  -0.00344458660767887]
AB_at_femshaft_l,femur_l,[ 0.02092662778760518 -0.1151343252855267   0.00049038179838378]
AL_at_femshaft_l,femur_l,[ 0.03072963937453286 -0.23554884839303888  0.00334496876932292]
AMprox_at_femshaft_l,femur_l,[ 0.01065442623711011 -0.07405686040422423 -0.01129999438180423]
AMmid_at_femshaft_l,femur_l,[ 0.02637115901820498 -0.16248901709014793  0.00394371385833321]
AMdist_at_femshaft_l,femur_l,[ 0.03010146101054793 -0.2663559391322956   0.00651411062285265]
AMisch_at_condyles_l,femur_l,[-0.02586571904779672 -0.3628258595353444   0.00162934314828936]
PECT_at_femshaft_l,femur_l,[ 0.01381397084742045 -0.0858050939529762  -0.01363228913831633]
Flex_at_femhead_l,femur_l,[ 0.00077592690878571 -0.00004447168077496 -0.01469236906517156]
GasLat_at_condyles_r,femur_r,[ 0.00607540763188267 -0.401843188318931    0.00171676404079842]
GasMed_at_condyles_r,femur_r,[ 0.00607540763188267 -0.401843188318931    0.00171676404079842]
KnExt_at_fem_r,femur_r,[-0.00231562178606349 -0.39362234770910676  0.00326958699848995]
KnExtVL_at_fem_r,femur_r,[-0.00465824137531595 -0.39302747632114027  0.00339500265703257]
AB_at_femshaft_r,femur_r,[ 0.01908330081314575 -0.11520029219463662  0.00048926420328961]
AL_at_femshaft_r,femur_r,[ 0.03246567872360014 -0.23755158693476522 -0.00589987823438886]
AMprox_at_femshaft_r,femur_r,[ 0.01048784359127558 -0.075331868032419    0.0088367897102744 ]
AMmid_at_femshaft_r,femur_r,[ 0.02651271736673479 -0.1622330093111849  -0.00335194826513296]
AMdist_at_femshaft_r,femur_r,[ 0.03102629924664135 -0.26912569955431964 -0.01046272467277201]
AMisch_at_condyles_r,femur_r,[-0.02738122664819681 -0.3633800148729183  -0.00184748603704529]
PECT_at_femshaft_r,femur_r,[ 0.01234659698906721 -0.08698206854490706  0.01281915704057567]
Flex_at_femhead_r,femur_r,[ 0.00088304986240772 -0.00073700560585357  0.01389096312399953]
GasLat_at_shank_l,tibia_l,[-0.00139048838884039 -0.07043705065104923  0.00757205780258776]
GasMed_at_shank_l,tibia_l,[-0.00139048838884039 -0.07043705065104923  0.00757205780258776]
GR_at_condyles_l,tibia_l,[-0.00106510411847225 -0.02004074422565324  0.00370528508848646]
SM_at_condyles_l,tibia_l,[ 0.00065279353222399 -0.02036341097311265  0.00436178370036655]
ST_at_condyles_l,tibia_l,[-0.00016978495742203 -0.02071431909005872  0.00404491741062034]
BF140_at_gastroc_l,tibia_l,[-0.02947322091494255 -0.05188799202347118 -0.00757694123022587]
GasLat_at_shank_r,tibia_r,[-0.00475797422684078 -0.06882822893036832 -0.00930101924646702]
GasMed_at_shank_r,tibia_r,[-0.00475797422684078 -0.06882822893036832 -0.00930101924646702]
GR_at_condyles_r,tibia_r,[-0.00155219961020743 -0.01998631593045425 -0.0034461335112188 ]
SM_at_condyles_r,tibia_r,[ 0.00094227451889154 -0.02056986097365174 -0.00390004930725765]
ST_at_condyles_r,tibia_r,[-0.00023843805379333 -0.02079160298864594 -0.00369263588945247]
BF140_at_gastroc_r,tibia_r,[-0.0420128764358345  -0.04820816671894187  0.00426321051411206]
