name,body,location
RASI,pelvis,[ 0.01123532089339325 -0.00420210656735047  0.11108543638183815]
RPSI,pelvis,[-0.18239926009618573  0.0286718746569493   0.03713897619309957]
LPSI,pelvis,[-0.18243622790653846  0.02813848576649126 -0.05174499773345968]
LASI,pelvis,[ 0.01969742260315593  0.00581690670960026 -0.1204194541513652 ]
PE01,pelvis,[-0.16312214381559192  0.04278460450891511 -0.00354131595129736]
PE02,pelvis,[-0.19354602593911882  0.01043245595022629  0.02242919584745823]
PE03,pelvis,[-0.19358083712927082  0.01029580847373195 -0.04040968310534452]
LTH1,femur_l,[ 0.0346182836816798  -0.20998713351513115 -0.03713757220918369]
LTH2,femur_l,[ 0.01531597780883475 -0.28996228844473476 -0.0513498396396167 ]
LTH3,femur_l,[ 0.06530277801103886 -0.2619006097808193  -0.00995017776397454]
LGT,femur_l,[ 0.01256743924525258 -0.01928166578481631 -0.09938107471386164]
LKNE,femur_l,[ 0.00072525659056265 -0.39086442874883526 -0.0594492636493078 ]
LMKNE,femur_l,[-0.00068610129568025 -0.39478181965540443  0.06037797680859178]
femur_neck_center_l,femur_l,[ 0.0023866919318064  -0.01598919658236576 -0.02674850198694899]
femur_shaft_center_l,femur_l,[-0.00160559794269661 -0.05308505024243658 -0.03617658134919869]
RTH1,femur_r,[ 0.03270387486038199 -0.21110989500614577  0.05728111313249679]
RTH2,femur_r,[ 0.02743067042688455 -0.2965387410929007   0.05666727504438555]
RTH3,femur_r,[ 0.06689792702746777 -0.25998064274259775  0.03232420780958642]
RGT,femur_r,[ 0.01113607376690611 -0.02853781492924321  0.09893689848978866]
RKNE,femur_r,[ 0.00063564843119119 -0.4026492140579573   0.05910479436828631]
RMKNE,femur_r,[-0.00056356513886512 -0.38706016223725215 -0.05993137019360819]
femur_neck_center_r,femur_r,[ 0.00357905866672232 -0.01751567872347158  0.02310554978684006]
femur_shaft_center_r,femur_r,[-0.00115164588958703 -0.05704050117238373  0.03325505276528325]
LTB1,tibia_l,[-0.0042267149653727  -0.12199395510798428 -0.07793829787103117]
LTB2,tibia_l,[ 0.03101793548283157 -0.17104842310567078 -0.05613501489915847]
LTB3,tibia_l,[-0.00335231600826337 -0.2186055514982103  -0.07089683122079546]
LANK,tibia_l,[ 0.00351441379974698 -0.3745254619221041  -0.05067550036367904]
LMMA,tibia_l,[ 0.01299073035003887 -0.3686428567515851   0.04461561886905916]
RTB1,tibia_r,[-0.00305057280395718 -0.13227802284423898  0.0621041041582051 ]
RTB2,tibia_r,[-0.03803493948200991 -0.1678251855424204   0.070390349188056  ]
RTB3,tibia_r,[ 0.0091434405681008  -0.22582019008671236  0.0562529009906048 ]
RANK,tibia_r,[-0.0017518840483937  -0.36973755594310603  0.0488721280114632 ]
RMMA,tibia_r,[ 0.019879418975823   -0.36780500083469353 -0.04261310159893236]
