,t0,tf,p_t0,p_tf
0,0.0,0.171,[0.09123125 0.         0.08426246],[0. 0. 0.]
1,0.0525,0.761,[0.74384866 0.         0.15646856],[0. 0. 0.]
2,0.6385000000000001,1.336,[1.46400196 0.         0.09515112],[0. 0. 0.]
