,t0,tf,p_l
0,0.196,0.454,[-0.25225148  0.          0.05048551]
1,,,[0. 0. 0.]
2,0.546,0.803,[0.16282884 0.         0.04858819]
3,,,[0. 0. 0.]
4,0.885,,[0.23424468 0.         0.01346738]
