name,body,location
RASI,pelvis,[ 0.01124915491900821 -0.00406724537766296  0.11161512201683119]
RPSI,pelvis,[-0.18040314146598682  0.042502661581917    0.03728071822918758]
LPSI,pelvis,[-0.18020348414069112  0.0432117965897606  -0.04831595889462708]
LASI,pelvis,[ 0.01871524693932831  0.00396543242562402 -0.12059114768322385]
PE01,pelvis,[-0.16409773252556362  0.06132779048194716 -0.00658704432079812]
PE02,pelvis,[-0.19066213993308878  0.02347069897230666  0.0244390204293915 ]
PE03,pelvis,[-0.19071983522417424  0.02415968839683421 -0.0354858086371671 ]
LTH1,femur_l,[ 0.03261509771711637 -0.20852172873715136 -0.03958326896365398]
LTH2,femur_l,[ 0.01639363840560167 -0.28926199665170926 -0.04632675030369714]
LTH3,femur_l,[ 0.06626151819981514 -0.2507607078656279  -0.0254842091644702 ]
LGT,femur_l,[ 0.01135002361505515 -0.02972928982639689 -0.09079271570477371]
LKNE,femur_l,[ 0.00059882568539671 -0.3970194968939454  -0.05634473036536369]
LMKNE,femur_l,[-0.0007142976119551  -0.39600938523130413  0.05744415081039302]
femur_neck_center_l,femur_l,[ 0.00445612389332284 -0.01912469914050601 -0.02081983424889179]
femur_shaft_center_l,femur_l,[ 0.00081442524304326 -0.05890991881181887 -0.03298132777376294]
RTH1,femur_r,[ 0.03136588946416027 -0.20575783159034516  0.05640474053547541]
RTH2,femur_r,[ 0.02881361048856612 -0.2842601123021264   0.05644588796618447]
RTH3,femur_r,[ 0.0666336579174874  -0.24450322652938183  0.04682555535223754]
RGT,femur_r,[ 0.00931244169468057 -0.03447626626913032  0.0889174891364153 ]
RKNE,femur_r,[ 0.00050767992839177 -0.3971927004413539   0.05717962382579646]
RMKNE,femur_r,[-0.00072216826346592 -0.39499580428680314 -0.05834808142051148]
femur_neck_center_r,femur_r,[ 0.00461986718028214 -0.02022741617008117  0.02090877184415456]
femur_shaft_center_r,femur_r,[-0.00003228607163811 -0.06171885488083203  0.03168617546235826]
LTB1,tibia_l,[-0.00549186466704968 -0.13636888966022717 -0.08030001173041496]
LTB2,tibia_l,[ 0.03393910853812308 -0.17794692111840607 -0.07393909377082422]
LTB3,tibia_l,[-0.00544520512783343 -0.24026395773500586 -0.0754205344127949 ]
LANK,tibia_l,[-0.00117398603296894 -0.3947939593761579  -0.05355272424222212]
LMMA,tibia_l,[ 0.0156327167176313  -0.37802504461699415  0.04075999758378577]
RTB1,tibia_r,[-0.00058927858833335 -0.1395421364763607   0.0695074100282169 ]
RTB2,tibia_r,[-0.03862808369857613 -0.18544669706735833  0.06697386804576984]
RTB3,tibia_r,[ 0.01213813583373854 -0.2329706322483536   0.0696336909267021 ]
RANK,tibia_r,[ 0.00157785493443955 -0.3889566528968559   0.05474760406336696]
RMMA,tibia_r,[ 0.0151518852499455  -0.37590730918372106 -0.04081896414708965]
