EMG01_right_gast_med,EMG02_right_glut_max,EMG03_left_gast_med,EMG04_left_glut_max,EMG05_right_glut_med,EMG06_right_bic_fem,EMG07_right_rect_fem,EMG08_right_vast_lat,EMG09_right_vast_med,EMG10_right_tens_fasc_lat,EMG11_left_glut_med,EMG12_left_bic_fem,EMG13_left_rect_fem,EMG14_left_vast_lat,EMG15_left_vast_med,EMG16_left_tens_fasc_lat
0.057229203372707343,0.02876149143958993,0.051872568214410365,0.017784122453886872,0.0009893340097197674,-0.01921927206602736,-0.002402908664566809,-0.015430533404286321,-0.021800046157408312,-0.01019340609810447,0.012610701263166477,0.013857978594549588,0.03144168063680637,-0.0010112399449993612,0.07347108743893574,0.014035520755093874
0.059827045595630894,0.02892630173441043,0.055530221001460676,0.018580533091417367,0.0012499874962792934,-0.018001150063124232,-0.0004575464422103964,-0.014013945837701911,-0.019251251421608155,-0.007565991889930195,0.013249820880569765,0.019318175259971492,0.03499675914128765,-0.0006674973103381011,0.07396567322622696,0.014484000544700004
0.06242388525022612,0.029089697195187746,0.059232120683411056,0.01938630975865181,0.00153221845301248,-0.016794374218493672,0.0015050265177273883,-0.01261605246091039,-0.016734704640943402,-0.004927476573138478,0.013902904937374878,0.024752544274848142,0.03861259055386984,-0.0003202205093630375,0.07448797060870793,0.01494319466610428
0.06501358331942647,0.02925138057519794,0.06297637184497537,0.020201350728944547,0.0018366699632243312,-0.015600971357440138,0.00348319778488589,-0.011239355281147544,-0.01425473369206402,-0.0022801499433557615,0.014569860753762116,0.03015132867967514,0.042287347002049606,3.0304658882951095e-05,0.07503864906607512,0.015413283562447045
0.0675904769419943,0.029411059211281548,0.06676102237982807,0.021025535646240105,0.0021640290578628174,-0.014422822621643022,0.005475437578016286,-0.009886207097865533,-0.011815449600399265,0.00037380981095962076,0.015250595005516277,0.03550527649450573,0.04601926223654458,0.0003838372541612591,0.07561825536866087,0.015894429306024527
0.07014955060340917,0.029568450021419553,0.07058405368668254,0.021858724876371704,0.0025150321691525955,-0.013261627308069322,0.007480326697642204,-0.008558774500446467,-0.009420673340056916,0.0030323821932247666,0.015945019557795596,0.04080581263724901,0.04980666410466041,0.0007401985269758994,0.0762272024039607,0.016386771826271792
0.07268650744535503,0.029723285085138346,0.07444336039881488,0.022700754605561285,0.0028904645926487865,-0.012118880010995724,0.00949657519140502,-0.007259011198133698,-0.007073878296052517,0.005693745272179162,0.016653050948285546,0.0460451351817599,0.0536479894453545,0.0010992841561677325,0.07686577207396678,0.016890432627442335
0.07519774606111343,0.02987531632210797,0.0783367293886073,0.023551433974483903,0.0032911557077439477,-0.01099586010585643,0.011523031622430931,-0.005988641509945496,-0.004778152900736471,0.008356305986899243,0.017374602880787078,0.05121623843678322,0.05754178370849537,0.0014610698117201134,0.0775341217133953,0.01740552248832622
0.07768025817834291,0.030024318004281667,0.08226183711340235,0.024410555353919377,0.003717971464967065,-0.009893632037953634,0.013558683101112513,-0.00474915378588827,-0.0025361826562271517,0.01101871883028194,0.018109575064965956,0.05631286798505781,0.061486687608102615,0.001825610502306808,0.07823228794112183,0.0179321500107448
0.08013146616477046,0.030170086063181834,0.08621627598688021,0.0252779168494245,0.004171805495980554,-0.008813054622145934,0.015602646627744025,-0.003541803270869131,-0.0003502502615321959,0.013679892411264893,0.01885784619470866,0.06132941474121956,0.06548141331144078,0.0021930343489572,0.07896018822812419,0.018470430326454956
