Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	-85.4078	-79.4035	293.925	2335.27
Segment_2	-84.5807	-78.7876	294.907	2354.01
Segment_3	-85.8293	-78.79	295.889	2452.44
