name,body,location
Gmax1_at_pelvis_r,pelvis,[-0.05615471369152837 -0.07116145133443183  0.09799754150754643]
Gmax3_at_pelvis_r,pelvis,[-0.07615687558802117 -0.09004773973270623  0.07416619401441528]
Post_at_pelvis_r,pelvis,[-0.05529926201477765 -0.07061071180060907  0.07382259644730467]
Gmed_at_pelvis_r,pelvis,[-0.02655280728083753 -0.0467145981232357   0.10452062870437104]
Gmax1_at_pelvis_l,pelvis,[-0.05503372532490609 -0.06932019108638603 -0.10252749374941533]
Gmax3_at_pelvis_l,pelvis,[-0.07565652157669625 -0.08886575435686553 -0.07921198094450915]
Post_at_pelvis_l,pelvis,[-0.05518066937235879 -0.06769167660590333 -0.07744431788054598]
Gmed_at_pelvis_l,pelvis,[-0.02663658363297897 -0.04481713192267267 -0.10876921662584334]
PS_at_brim_r,pelvis,[-0.06893380748537832 -0.06388659713849902  0.06978572428087398]
PS_at_brim_l,pelvis,[-0.07031460995901215 -0.05958705952135832 -0.07254929693425086]
IL_at_brim_r,pelvis,[-0.06604585184079141 -0.06475113517595245  0.08144943866323424]
IL_at_brim_l,pelvis,[-0.06664553843761599 -0.06126341404425177 -0.08495094454643007]
GasLat_at_condyles_l,femur_l,[ 0.00501168724455975 -0.4031397391838965  -0.00155070142382278]
Flex_at_femhead_r,femur_l,[-0.00716442382123228  0.00156575704315338  0.00773869419169847]
GasMed_at_condyles_l,femur_l,[ 0.00501168724455975 -0.4031397391838965  -0.00155070142382278]
KnExt_at_fem_l,femur_l,[-0.0019920954290142  -0.3949181723978054  -0.00286558158404972]
KnExtVL_at_fem_l,femur_l,[-0.00412620213817706 -0.39464777714888444 -0.00269879804971719]
AB_at_femshaft_l,femur_l,[ 0.01854418555633069 -0.10969757022133987 -0.00950941380535288]
AL_at_femshaft_l,femur_l,[ 0.03091011572712915 -0.22991061257220288 -0.00194151858029038]
AMprox_at_femshaft_l,femur_l,[ 0.01340819419192141 -0.07391995593733094 -0.01507534903662063]
AMmid_at_femshaft_l,femur_l,[ 0.02373295818134685 -0.15768018826955552 -0.00402578653881234]
AMdist_at_femshaft_l,femur_l,[ 0.03154959016233057 -0.25855735235021576  0.00075934271784082]
AMisch_at_condyles_l,femur_l,[-0.02412288891458418 -0.3672955470494885   0.00706916044906549]
PECT_at_femshaft_l,femur_l,[ 0.01424486325344846 -0.08444958538467966 -0.01888823625125641]
Flex_at_femhead_l,femur_l,[-0.00024468419234806 -0.00091656090240039 -0.01146776712481811]
GasLat_at_condyles_r,femur_r,[ 0.00477770258909595 -0.40258021292054635  0.00175734381042567]
GasMed_at_condyles_r,femur_r,[ 0.00477770258909595 -0.40258021292054635  0.00175734381042567]
KnExt_at_fem_r,femur_r,[-0.00188875823024408 -0.394558928772249    0.00284226639931968]
KnExtVL_at_fem_r,femur_r,[-0.00396652868880591 -0.394327258866937    0.00265942676482047]
AB_at_femshaft_r,femur_r,[ 0.02257075590981793 -0.1101506543061154   0.00752813907137553]
AL_at_femshaft_r,femur_r,[ 0.03176418422115441 -0.22944730727522802  0.00060276026893087]
AMprox_at_femshaft_r,femur_r,[ 0.01500777885552759 -0.07561130895527747  0.01377115147858808]
AMmid_at_femshaft_r,femur_r,[ 0.02648953245873735 -0.1574642027479051   0.00294936441499474]
AMdist_at_femshaft_r,femur_r,[ 0.03214850466689963 -0.25803947194688526 -0.0028177347850294 ]
AMisch_at_condyles_r,femur_r,[-0.02331904718697113 -0.3672378616485343  -0.00841867772686232]
PECT_at_femshaft_r,femur_r,[ 0.01666746599139851 -0.0858748542657632   0.01713117708592057]
Flex_at_femhead_r,femur_r,[ 0.00018865689838031 -0.00102563467340426  0.01144609744673708]
GasLat_at_shank_l,tibia_l,[-0.00052299558125068 -0.07880255806964234  0.0056468496104958 ]
GasMed_at_shank_l,tibia_l,[-0.00052299558125068 -0.07880255806964234  0.0056468496104958 ]
GR_at_condyles_l,tibia_l,[-0.00175619908798646 -0.02211388260360644  0.00540976080462824]
SM_at_condyles_l,tibia_l,[ 0.00005237190670649 -0.02181589314572887  0.00550472964567151]
ST_at_condyles_l,tibia_l,[-0.00079062863428064 -0.02250738594770715  0.00541126162007831]
BF140_at_gastroc_l,tibia_l,[-0.03098933876170169 -0.06860921402491518  0.00142872079645372]
GasLat_at_shank_r,tibia_r,[-0.00378651774157498 -0.0761157354489829  -0.00721947829327218]
GasMed_at_shank_r,tibia_r,[-0.00378651774157498 -0.0761157354489829  -0.00721947829327218]
GR_at_condyles_r,tibia_r,[-0.00177681848175181 -0.02119778775413318 -0.00479459117573739]
SM_at_condyles_r,tibia_r,[ 0.00059154667193865 -0.02104796632693788 -0.0047210943053633 ]
ST_at_condyles_r,tibia_r,[-0.00052286291265772 -0.02164664029196265 -0.00473402820137744]
BF140_at_gastroc_r,tibia_r,[-0.04136483458455757 -0.06431678884025828 -0.00473170025805393]
