Alpha,Beta,Gamma,RMSE_Moments,R2_Moments,RMSE_Excitations,R2_Excitations
10,10,1,74.68990760604464,0.7871787671197584,inf,0.16379457612283896
10,10,1000,82.02149718252491,0.8015120194226281,inf,0.17261185572061896
10,10,1500,82.22713508584705,0.7902613942240659,inf,0.17609620072921073
10,10,2000,82.3474486339556,0.7819741981542251,inf,0.1782129350328784
10,10,500,81.56517800958248,0.820798616012954,inf,0.16657452718102453
10,1,1,73.09617425897972,0.7433051659470197,inf,0.16567654384220445
10,1,1000,82.01648216905144,0.7981746104232524,inf,0.18017096848819958
10,1,1500,82.22438951344222,0.7860897964487428,inf,0.1843260620282863
10,1,2000,82.34568423451736,0.7772621097179064,inf,0.1831860772112853
10,1,500,81.55138811828543,0.8318935024212395,inf,0.19525175425299865
1,10,1,79.64107376483545,0.8223411135584113,inf,0.15401637689460324
1,10,1000,82.76355692856599,0.7163879814692548,inf,0.1977725770459032
1,10,1500,82.81582403500734,0.7012313582858365,inf,0.19691109867811116
1,10,2000,82.8434394728673,0.6913291806744822,inf,0.19964565461242292
1,10,500,82.63240483111099,0.7416701975641208,inf,0.19630216802392608
1,1,1,75.65737794518988,0.8033923029689811,inf,0.15707935572265014
1,1,1000,82.7621976666042,0.728298793058164,inf,0.1895995637744725
1,1,1500,82.81514404112366,0.7139798838568879,inf,0.1900174715915699
1,1,2000,82.8430634271611,0.7045826947486149,inf,0.19133535915596997
1,1,500,82.62824208563734,0.7522143542156055,inf,0.18754248931369008
