name,r,a,s
GasLat_at_condyles_r,131.37268500362032,1.5509468052506061,337.86912080561757
GasMed_at_condyles_r,131.37268500362032,1.5509468052506061,337.86912080561757
KnExt_at_fem_r,129.98738542385294,-6.004594942701397,344.7818581674746
KnExtVL_at_fem_r,129.39084432076487,-7.917883946280098,345.02862619346325
AB_at_femshaft_r,110.57466801112213,-6.9977448215817315,609.2116730501249
AL_at_femshaft_r,118.63817362565794,14.108211541048176,496.6055396131384
AMprox_at_femshaft_r,111.28499102176772,-18.312289942421966,645.8236848187933
AMmid_at_femshaft_r,112.84268037797207,3.3462817622990104,564.4544029796851
AMdist_at_femshaft_r,118.02121547508304,17.354258572841136,468.7179527361518
AMisch_at_condyles_r,114.24759668347583,-24.065667559801618,369.76591888414646
PECT_at_femshaft_r,116.10069487668598,-18.401552444440178,635.2404547315233
Flex_at_femhead_r,97.96268443576817,-27.892911324433005,712.9561278093562
FleAbd_at_femhead_r,97.96268443576817,-27.892911324433005,712.9561278093562
