name,r,a,s
GasLat_at_condyles_l,-125.47587070937757,7.952630884982167,342.7108407455899
Flex_at_femhead_r,-84.91547977284237,-22.546378703048983,707.14928614865
GasMed_at_condyles_l,-125.47587070937757,7.952630884982167,342.7108407455899
KnExt_at_fem_l,-124.22747829550724,0.6603901844111705,349.5026679125801
KnExtVL_at_fem_l,-123.57588695058409,-1.1148856669418306,349.6883706506075
AB_at_femshaft_l,-114.533878435979,-5.331213307055606,606.6329869973574
AL_at_femshaft_l,-119.40760004182359,16.294534046007545,497.44823083398126
AMprox_at_femshaft_l,-116.31844966879008,-18.184673079620858,642.9100978163837
AMmid_at_femshaft_l,-115.32185379495863,5.506761740151403,562.7700621103392
AMdist_at_femshaft_l,-118.49386235557714,19.917366583172427,470.6488543103562
AMisch_at_condyles_l,-109.40656504309702,-16.264039502486888,372.93819133203175
PECT_at_femshaft_l,-120.53288910550961,-17.759551141347533,632.7318725691028
Flex_at_femhead_l,-104.83768372972817,-29.41934154774314,707.9949275603117
