,t0,tf,p_l
0,0.06,0.316,[-0.27485406  0.          0.03144264]
1,,,[0. 0. 0.]
2,0.401,0.651,[0.16041159 0.         0.07673116]
3,,,[0. 0. 0.]
4,0.736,0.982,[0.4993261  0.         0.04580004]
