name,body,location
RASI,pelvis,[ 0.01050737187212213 -0.00264513347869016  0.11848879320476072]
RPSI,pelvis,[-0.169766926856564    0.02382550341004915  0.04128257742335333]
LPSI,pelvis,[-0.16990025940056575  0.0236397242482439  -0.04602294996687312]
LASI,pelvis,[ 0.01872864070621203  0.00610959738995739 -0.12897652705343893]
PE01,pelvis,[-0.15644952277756022  0.04757866871417618 -0.00057662870872189]
PE02,pelvis,[-0.17954283675442034  0.00580743343538316  0.02747619874830163]
PE03,pelvis,[-0.17955342957592726  0.0056696831871305  -0.03402067927863111]
LTH1,femur_l,[ 0.02595498490135105 -0.20839013788678404 -0.03946632263276103]
LTH2,femur_l,[ 0.0121331523621781  -0.28736577071969815 -0.04787811320299814]
LTH3,femur_l,[ 0.0545249952810038  -0.2561938189002395  -0.01593233532892874]
LGT,femur_l,[-0.00541935912913137 -0.01586787026537632 -0.10067792348691053]
LKNE,femur_l,[ 0.00031000001895203 -0.39056820137634723 -0.05704573469938451]
LMKNE,femur_l,[-0.00030788824607039 -0.39154263376624693  0.05779590293217753]
femur_neck_center_l,femur_l,[-0.00208420452742763 -0.01493423001997294 -0.02410668519632287]
femur_shaft_center_l,femur_l,[-0.00839963657127519 -0.05107161144372628 -0.03624385886674186]
RTH1,femur_r,[ 0.02333236512185171 -0.21176397977501565  0.05917812941388715]
RTH2,femur_r,[ 0.02217194504521814 -0.29335933342202886  0.0562499502277554 ]
RTH3,femur_r,[ 0.05412506273828056 -0.2560288383605603   0.03915883602657301]
RGT,femur_r,[-0.00654180338780004 -0.0264875125116084   0.10066326957067584]
RKNE,femur_r,[ 0.00028027808492468 -0.40215646040600633  0.05677336463167604]
RMKNE,femur_r,[-0.0002742511793241  -0.3868657926974414  -0.05750828151020143]
femur_neck_center_r,femur_r,[-0.00224384584988013 -0.01744111403978562  0.02374743629189512]
femur_shaft_center_r,femur_r,[-0.00936166207978204 -0.0551793573050669   0.03631296048170099]
LTB1,tibia_l,[-0.0083553717737736  -0.11550261269945435 -0.07522073721301661]
LTB2,tibia_l,[ 0.03311910796183506 -0.16528956035010947 -0.06333211460771938]
LTB3,tibia_l,[-0.00529612406315346 -0.21553081412128788 -0.07094178202326963]
LANK,tibia_l,[ 0.00364934296309555 -0.3650460793500476  -0.0547262035471604 ]
LMMA,tibia_l,[ 0.01433101389836589 -0.36527815372418276  0.04447840684869016]
RTB1,tibia_r,[-0.00119360525925983 -0.1282833879421816   0.06339159434695489]
RTB2,tibia_r,[-0.03496093319826125 -0.16758324902630614  0.06821513758327606]
RTB3,tibia_r,[ 0.01087261199492088 -0.22188250359679948  0.06067970382269659]
RANK,tibia_r,[-0.00009000818046474 -0.3628232629488702   0.05361674687207416]
RMMA,tibia_r,[ 0.01805338583488787 -0.3635034271795752  -0.04358122994140401]
