,t0,tf,p_l
0,0.062,0.318,[-0.33336283  0.          0.05583104]
1,,,[0. 0. 0.]
2,0.426,0.672,[0.21095818 0.         0.06437742]
3,,,[0. 0. 0.]
4,0.76,,[0.16878722 0.         0.01293598]
