Alpha,Beta,Gamma,RMSE_Moments,R2_Moments,RMSE_Excitations,R2_Excitations
100,100,1,36.00688893330964,0.9411722104523695,inf,0.386768604916289
100,100,100,36.06870987775508,0.9457270883556855,1921.4151537662608,0.5046296877987811
100,100,1000,37.149217222458034,0.9585727557496311,62.79177855932965,0.6317260586681995
100,100,3000,39.833464704182774,0.9519265834740093,56.97392038192611,0.695867181311847
100,100,500,36.477803923409134,0.9536912401152783,91.46471663916185,0.5958107767063435
100,10,1,35.453398735820905,0.9403340550585583,2082.9894605931204,0.29813839608020537
100,10,100,35.84233660529923,0.9424722601371419,613.2779365262693,0.5552625000315298
100,10,1000,36.991070051972294,0.956409661247337,72.24044335802766,0.6397711871623594
100,10,3000,39.707866266361656,0.9512802969950677,52.73423090174608,0.710267789548217
100,10,500,36.30362896996773,0.9496487874177337,72.30838937280144,0.608278122793864
100,1,1,35.32415428111564,0.9402959789294261,1928.4173585605006,0.33166136415614705
100,1,100,35.863769198856374,0.9407504342213773,1845.214983385691,0.5576036340649858
100,1,1000,37.07854916226434,0.9565744086659749,59.74409355781467,0.6451566911114717
100,1,3000,39.791144080442535,0.9510943216266838,51.51242022089158,0.7152933956199129
100,1,500,36.39463727375275,0.9494271703927843,74.76597055003808,0.6103392730716378
10,100,1,38.97558099120891,0.9644375008877523,inf,0.422483901266186
10,100,100,40.29677608295557,0.960773685308356,115.9404902757434,0.5658075152276615
10,100,1000,43.083255318918106,0.9382884082738068,61.705523544888656,0.7621370229910984
10,100,3000,44.09762487358527,0.9234381970688605,52.24087549519074,0.8177906114084275
10,100,500,42.27289499565537,0.9472531233308985,67.80885934543902,0.7035851121758382
10,10,1,35.99656997287728,0.9416642228220218,2179.325325592804,0.3642438725823145
10,10,100,37.14126783239064,0.9585070257639348,67.51856463642137,0.634309450807865
10,10,1000,42.02883344948001,0.9359374070713973,51.06760103373298,0.7736192787002029
10,10,3000,43.465493645862615,0.9173527896545854,44.625535055916096,0.8173194117509271
10,10,500,40.81616377138301,0.946049054765503,55.231613607041986,0.7217291501217805
10,1,1,35.53867169271596,0.9403292095536078,1968.1555010155605,0.405253269229881
10,1,100,37.01441450479276,0.9562942323012136,58.311613125129576,0.6413224872856161
10,1,1000,42.133523407787855,0.9334954807169028,48.87738899102819,0.774740904971685
10,1,3000,43.57795259211302,0.9140249441175105,43.543007612423885,0.8166155274507236
10,1,500,40.83163663758062,0.9445080443352118,50.94684607442312,0.7245522329258316
1,100,1,49.308539617548014,0.9276578253436638,2110.2078104782245,0.41095911436016913
1,100,100,48.764433637015934,0.931831878805581,98.26032085205036,0.636707925299162
1,100,1000,48.722623882180635,0.9080673731824899,34.351200985241405,0.8252009398361269
1,100,3000,52.75953819959342,0.8320673856656722,22.29722992072953,0.9430917990646629
1,100,500,48.35482772387968,0.9286421740544762,68.06469122071013,0.8084889766350875
1,10,1,39.098617277887946,0.9644018655900253,2202.1460512459353,0.43341566995744624
1,10,100,43.084870752788994,0.9382358425793568,62.13294223335503,0.7617998629746906
1,10,1000,45.499700092872565,0.9035742400508902,22.632857482730767,0.8727979751865139
1,10,3000,49.81421570415522,0.8541338779967891,19.182197587518072,0.956061928119034
1,10,500,44.39328907129618,0.9179068974243668,45.037877680655356,0.8237592309110373
1,1,1,36.04524176159022,0.9458360006358063,1976.3576798875172,0.5057231227602402
1,1,100,42.017169582606826,0.9358513282578921,51.08700524027076,0.7730312187706111
1,1,1000,45.25370855698511,0.8964699305903864,22.243168915085842,0.8707906956800305
1,1,3000,49.727482389378984,0.8526964050437444,18.71074061746971,0.9614392136362206
1,1,500,43.92057701437459,0.9115787645874992,34.02078092130579,0.8224783818599577
