time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,
3.6,0.293886,0.979942,0.849388,0.615011,0.632122,0.0747401,
3.605,0.963329,0.780203,0.934257,0.403601,0.644096,0.629811,
3.61,0.859836,1,0.762605,0.676441,0.156668,0.14544,
3.615,0.887711,0.105383,0.691277,0.347146,0.675805,0.172518,
3.62,0.648184,0.393885,0.266927,0.522168,0.918504,0.52601,
3.625,0.759749,0.703988,0.246337,0.346107,0.100606,0.512237,
3.63,0.396153,0.302183,0.271292,0.395246,0.701577,0.732782,
3.635,0.0249633,0.91368,0.186118,0.544545,0.528042,0.133783,
3.64,0.689806,0.382088,0.877887,0.622079,0.864686,0.563914,
3.645,0.693285,0.852807,0.120156,0.291274,0.404394,0.818733,
3.65,0.3382,0.722791,0.422374,0.369271,0.425994,0.436624,
3.655,0.579877,0.801996,0.740618,0.875943,0.301373,0.123071,
3.66,0.777413,0.439064,0.751149,0.304587,0.250841,0.17645,
3.665,0.774462,0.0518567,0.819203,0.436872,0.545626,0.498593,
3.67,0.483233,0.881763,0.800048,0.77764,0.597488,0.315947,
3.675,0.644704,0.717649,0.757028,0.18975,0.314345,0.628627,
3.68,0.680024,0.804709,0.792792,0.309552,0.602041,1,
3.685,0.84442,0.0272127,0.819076,0.836164,0.0276779,0.273221,
3.69,0.976576,0.00722034,0.89365,0.47128,0.279437,0.834293,
3.695,1,0.821856,0.192521,0.959235,0.311186,0.31466,
3.7,0.701394,0.143225,0.187898,0.95476,0.0214374,0.339476,
3.705,0.527735,0.892212,0.626855,0.567773,0.94596,0.467187,
3.71,0.172934,0.092942,0.0571917,0.913012,0.756923,0.239487,
3.715,0.139298,0.213826,0.99757,0.209022,0.389407,0.0840691,
3.72,0.691453,0.789447,0.553721,0.123191,0.636875,0.0955261,
3.725,0.627598,0.61249,0.714502,0.842541,0.211814,0.387787,
3.73,0.213934,0.146375,0.380763,0.585622,0.106107,0.186288,
3.735,0.242032,0.746504,0.79831,0.56279,0.864929,0.702547,
3.74,0.836643,0.68902,0.587502,0.810368,0.139758,0.428627,
3.745,0.116783,0.623791,0.36253,0.109796,0.0516677,0.518566,
3.75,0.0363484,0.213068,0.603529,0.358619,0.55523,0.573355,
3.755,0.683948,0.847109,1,0.410474,0.636086,0.855731,
3.76,0.957743,0.445361,0.472265,1,1,0.724827,
3.765,0.296497,0.120967,0.665223,0.491643,0.528608,0.231591,
3.77,0.420076,0.963319,0.257305,0.564375,0.772339,0.501351,
3.775,0.479345,0.698787,0.824993,0.396048,0.593305,0.763781,
3.78,0.811751,0.0432141,0.134031,0.860178,0.314835,0.290876,
3.785,0.012107,0.81318,0.130292,0.718483,0.642879,0.158481,
3.79,0.0208198,0.526839,0.167554,0.879902,0.698875,0.4513,
3.795,0.0834576,0.616709,0.236028,0.22667,0.0933161,0.0410516,
