Segment	Centroid_r	Centroid_a	Centroid_s	Surface area [mm2]
Segment_1	-94.0091	-75.7836	237.391	1877.04
Segment_2	-94.617	-76.3331	238.284	1878.51
Segment_3	-94.5838	-75.9593	239.177	1952.17
