time,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,synergy9,synergy10,
0.33,0.829876,0.0768903,0.0334082,0.0425834,0,0.22874,0.0519713,0,0.212736,0.135586,
0.335,0.76438,0.0568729,0,0.0798358,0.00544381,0.0935521,0.0167847,0.0400338,0.00811758,0.133864,
0.34,0.702867,0.0887751,0.247883,0.587449,0.0260681,0.182119,0.0408269,0.0557777,0.356471,0.30657,
0.345,0.674823,0.161392,0.0122359,0,0,0.171082,0,0.0258725,0,0.0301088,
0.35,0.792927,0.0796017,0,0.00166651,0.000782117,0.0373539,0.00502026,0.0293989,0,0.0595389,
0.355,0.772096,0,0.016293,0.00177087,0.00658675,0.228397,0,0.0564695,0.164147,0.119116,
0.36,0.557162,0.0478925,0.0483176,0.412977,0.00765611,0.438429,0.0427526,0.00357105,0.410221,0.140937,
0.365,0.627458,0.0843645,0,0,0,0.0666583,0.0789184,0.0459721,0.0448911,0.148063,
0.37,0.627357,0.10318,0.0229231,0.0153755,0,0.00796779,0.137561,0,0.324888,0.219559,
0.375,0.631842,0.0970734,0,0.0235897,0.0180314,0.0336021,0.0654191,0.0759355,0.184939,0.163179,
0.38,0.475658,0.087264,0.063311,0.636644,0.0109751,0.448038,0.116179,0,0.694593,0.152884,
0.385,0.545912,0.0286922,0.018745,0.00456632,0.0129927,0.0256679,0.00531611,0.13158,0.287957,0.0911271,
0.39,0.422917,0.0536905,0.0424195,0.0540213,0.00545345,0.232455,0.0675222,0.0940255,0.834865,0.138151,
0.395,0.506424,0.11373,0.05918,0.0122233,0.0407804,0.06026,0.105172,0.133696,0.529025,0.124152,
0.4,0.534013,0,0,0.12856,0,0.0877666,0.118947,0.0222356,0.439346,0.167436,
0.405,0.509692,0,0.0311625,0.00989516,0.00473125,0.209535,0.0681193,0.0876128,0.589488,0.124998,
0.41,0.614494,0.112162,0.049536,0.0316761,0.0604499,0.0782036,0.0732307,0.0995706,0.628199,0.0831774,
0.415,0.677776,0.0343185,0.0475892,0.104008,0.0416806,0.0761457,0.102116,0.0597898,0.570907,0.190291,
0.42,0.64612,0.0297146,0.0682957,0.072381,0.0797244,0.235394,0.114212,0.0209525,0.613661,0.224165,
0.425,0.668747,0.014037,0.084301,0.209039,0.0808946,0.191146,0.0519351,0.0738503,0.490739,0.210201,
0.43,0.722972,0.1411,0.0703882,0.161392,0.130961,0.0944577,0.0921338,0.11616,0.729992,0.153779,
0.435,0.73399,0.087088,0.00940983,0.0604233,0.178007,0,0.131386,0.1052,0.70192,0.223677,
0.44,0.726506,0.0805856,0.0878521,0.122296,0.167596,0.0834805,0.111423,0.0858497,0.90774,0.230116,
0.445,0.661267,0.0933825,0.156738,0.130714,0.193859,0.310981,0.0782699,0.049502,0.570296,0.337764,
0.45,0.738571,0.090948,0.0940254,0.0997287,0.177425,0.0867332,0.0547855,0.0820092,0.690512,0.224997,
0.455,0.732662,0.0753363,0.0716401,0.0805119,0.167702,0.0090808,0.13845,0.0703627,0.73662,0.294283,
0.46,0.767312,0.063022,0.155502,0.10086,0.21411,0.212445,0.0559755,0.0474623,0.684938,0.346227,
0.465,0.740916,0,0.13224,0.0562992,0.271313,0.00239367,0.0282929,0.0655354,0.608992,0.374384,
0.47,0.805834,0.0622622,0.0591467,0.111392,0.267703,0.0701664,0.108876,0.0321567,0.66921,0.344352,
0.475,0.582388,0.211781,0.157754,0.450316,0.0954258,0.00917865,0.104715,0.0198042,0.764058,0.210509,
0.48,0.749966,0.177962,0,0.0129385,0.409184,0.480372,0.0537973,0.0902281,0.764299,0.168195,
0.485,0.657344,0.129168,0.19084,0.178688,0.311524,0.352179,0.0359804,0.0241785,0.650806,0.373008,
0.49,0.640625,0.0709855,0.344338,0.0808378,0.287673,0.0556292,0.000172354,0,0.558871,0.423667,
0.495,0.572426,0.103439,0.347945,0.244625,0.199795,0.00230502,0.0834391,0,0.698036,0.416387,
0.5,0.609129,0.0417051,0.303216,0.121944,0.243977,0.369395,0.081011,0.0503755,0.674132,0.460363,
0.505,0.608443,0.0199224,0.215408,0.124393,0.205257,0.0443372,0.23539,0.0775522,0.751716,0.505105,
0.51,0.708084,0.072883,0.317188,0.106774,0.288947,0.26912,0.147627,0,0.813007,0.493957,
0.515,0.667861,0.0678076,0.0358749,0.00626287,0.365747,0.194616,0.199709,0.121272,0.745306,0.383436,
0.52,0.733275,0.0217442,0.421074,0.0104121,0.29942,0.100219,0.292616,0.0050731,0.713245,0.310122,
0.525,0.643292,0,0.0731094,0.075274,0.337087,0.320447,0.11138,0.120856,0.708945,0.412746,
0.53,0.695654,0.0393202,0.169868,0.100746,0.301625,0.0313772,0.0829419,0.0782895,0.785147,0.512342,
0.535,0.68632,0.189198,0.320872,0.0556573,0.36557,0.334071,0.103541,0.0699067,0.582981,0.338099,
0.54,0.696587,0.0953997,0.324523,0.131901,0.403505,0.161568,0.0982616,0.0754702,0.792796,0.45813,
0.545,0.673187,0.0745202,0.284986,0.0258783,0.383126,0.0902426,0.125561,0.0998114,0.705143,0.396994,
0.55,0.68905,0.0569224,0.365837,0.0418974,0.347476,0.279609,0.136651,0.0851663,0.681189,0.385046,
0.555,0.641294,0.0103321,0.380307,0.00573741,0.403781,0.239369,0.14601,0.0154842,0.676716,0.500592,
0.56,0.653896,0.145604,0.348524,0.0199686,0.335344,0.278101,0.19824,0.0491971,0.797107,0.362382,
0.565,0.663685,0.116341,0.377296,0,0.29134,0.185793,0.259216,0,0.802606,0.58421,
0.57,0.693349,0.0456034,0.43875,0.00396724,0.290129,0.134182,0.228462,0.0995852,0.740209,0.568623,
0.575,0.566821,0.0427957,0.394996,0.0360672,0.221798,0.0261633,0.279888,0,0.73666,0.500194,
0.58,0.572283,0.0732495,0.347529,0.0338374,0.265185,0.268546,0.199765,0.0802796,0.743093,0.336338,
0.585,0.496666,0.0330891,0.361146,0.000936792,0.225223,0.0137157,0.160408,0.08753,0.734067,0.27631,
0.59,0.545151,0.075677,0.344289,0.000269554,0.264412,0.374183,0.230977,0.0933405,0.825642,0.275423,
0.595,0.461623,0.0945459,0.410232,0,0.364261,0.188372,0.214937,0.0920853,0.840691,0.364755,
0.6,0.511418,0.0680141,0.464731,0.00291754,0.245405,0.0499591,0.16146,0.125157,0.721361,0.352559,
0.605,0.483621,0.0327467,0.38829,0.00647904,0.195692,0.197132,0.281267,0.0610927,0.901574,0.390355,
0.61,0.493771,0.0602785,0.463691,0,0.0926368,0.449035,0.191059,0.145593,0.862016,0.363792,
0.615,0.377483,0,0.366652,0.000717623,0.279902,0.112012,0.201854,0.173324,0.825885,0.329368,
0.62,0.492682,0.10244,0.488022,0.00105182,0.303391,0.425784,0.102639,0.169927,0.91214,0.393938,
0.625,0.500268,0.129838,0.378867,4.76144e-05,0.296294,0.410194,0.28285,0.07755,1,0.444257,
0.63,0.438522,0.0971508,0.405377,0.00372525,0.239723,0.507529,0.276139,0.106832,0.940578,0.442484,
0.635,0.377258,0.134211,0.55043,0,0.286939,0.530806,0.173203,0.137813,0.802899,0.486222,
0.64,0.376918,0.0745961,0.506046,0.0196045,0.276685,0.377559,0.162727,0.16805,0.844527,0.363352,
0.645,0.371035,0.0654661,0.571331,0.00101821,0.214572,0.348506,0.206132,0,0.694905,0.46522,
0.65,0.365024,0.0469833,0.497495,0.000709218,0.219833,0.413942,0.200688,0.0650305,0.845579,0.388269,
0.655,0.330266,0.0558717,0.630813,0,0.285406,0.538614,0.171183,0.0797655,0.890706,0.525212,
0.66,0.329913,0.0695793,0.528898,0,0.165969,0.442108,0.305166,0.0997294,0.919348,0.532806,
0.665,0.333988,0.221034,0.576384,0,0.331586,0.593609,0.218434,0.148974,0.796427,0.563866,
0.67,0.345444,0.106478,0.516703,0,0.141759,0.489642,0.302503,0.0904084,0.889928,0.529389,
0.675,0.365513,0.00358105,0.448871,0,0.126491,0.403135,0.300173,0.128012,0.899107,0.509224,
0.68,0.434672,0.169126,0.45755,0,0.203699,0.508875,0.384316,0.0840457,0.833592,0.52436,
0.685,0.412654,0.158384,0.61007,0.00316006,0.146309,0.303107,0.191748,0.0972519,0.671281,0.556883,
0.69,0.332218,0.0562961,0.502729,0.00189059,0.156811,0.367953,0.298331,0.165803,0.820652,0.568925,
0.695,0.307963,0.0835305,0.499848,0.0413477,0.15814,0.272146,0.365245,0.137018,0.807946,0.552284,
0.7,0.354205,0.147246,0.398946,0.0133269,0.15991,0.240155,0.272746,0.177804,0.709465,0.455299,
0.705,0.303351,0.0569165,0.426466,0.120653,0.16442,0.579629,0.415925,0.0810359,0.652378,0.642772,
0.71,0.302122,0.0832999,0.4496,0.0291406,0.0519946,0.27745,0.228259,0.0931233,0.675185,0.503168,
0.715,0.323469,0.190521,0.545989,0.0337685,0.18932,0.332825,0.304014,0,0.686016,0.595064,
0.72,0.349134,0.117732,0.390921,0.0493075,0.237725,0.447979,0.363755,0.115807,0.72518,0.541506,
0.725,0.38529,0.106089,0.424193,0.0161186,0.082422,0.34552,0.301333,0.218108,0.788035,0.516966,
0.73,0.453758,0.165798,0.470664,0,0.0907678,0.383027,0.399162,0.188797,0.812453,0.585212,
0.735,0.353173,0.228158,0.456579,0.0693899,0.0610395,0.177192,0.415003,0.243338,0.898978,0.481455,
0.74,0.371101,0.278193,0.516438,0.0135537,0.110946,0.375929,0.214968,0.349445,0.761257,0.290454,
0.745,0.274441,0.164183,0.446431,0.099319,0.187841,0.434008,0.474659,0.253131,0.72989,0.576731,
0.75,0.318502,0.258658,0.443812,0.0383443,0.166136,0.35175,0.380587,0.200301,0.642088,0.367222,
0.755,0.343319,0.052498,0.487587,0.069434,0.121167,0.303505,0.33291,0.17454,0.572605,0.429606,
0.76,0.228047,0.0554081,0.388989,0.0549006,0.242575,0.388546,0.383688,0.17528,0.682766,0.395641,
0.765,0.337894,0.0958655,0.467756,0.0363298,0.0620759,0.385003,0.345782,0.312833,0.628996,0.440864,
0.77,0.291252,0.0680682,0.394615,0,0.155168,0.408347,0.390995,0.247377,0.751824,0.447472,
0.775,0.29709,0.112246,0.367757,0.0755422,0,0.386421,0.387185,0.300244,0.691866,0.318016,
0.78,0.160847,0.121495,0.508554,0.0430422,0.337805,0.311451,0.261616,0.332022,0.811536,0.388045,
0.785,0.213669,0.193994,0.478106,0.00318779,0.0162464,0.500769,0.405921,0.359988,0.755045,0.445604,
0.79,0.193189,0.145336,0.50356,0.0169416,0.0275868,0.458239,0.40612,0.414515,0.83476,0.504,
0.795,0.139328,0.222154,0.666022,0.00331347,0.0501847,0.44101,0.484886,0.370556,0.786058,0.541651,
0.8,0.148047,0.235481,0.5909,0.0211632,0.00489753,0.497091,0.433478,0.450493,0.859374,0.460085,
0.805,0.0461321,0.413449,0.663735,0,0.0729214,0.355991,0.496083,0.413843,0.767026,0.368939,
0.81,0.0269908,0.1864,0.556725,0,0.0739052,0.466551,0.473688,0.379852,0.664228,0.362072,
0.815,0.0403713,0.0717409,0.62778,0,0.0682178,0.502583,0.243896,0.440405,0.451235,0.233944,
0.82,0.00403184,0.0592133,0.497774,0,0.0193079,0.577645,0.55034,0.353536,0.624141,0.488677,
