mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,synergy9,synergy10,synergy11,synergy12,
addbrev_r,0.00418079,0.0063382,0.084737,0.0178923,0.0705169,0.00189108,0,0.00378388,0.00621415,0.0582458,0.034337,0.0399804,
addlong_r,0.0102554,0.109175,0.0325578,0.00941653,0.0387815,0.00304928,0.0878173,0.027682,0.00383382,0.00123925,0.0632988,0.0196783,
addmagDist_r,0.026713,0.0125156,0.276761,0.518581,0.0414676,0.210931,0.00529654,0.524809,0,0.0474533,0.086578,0.0314442,
addmagIsch_r,0.0586595,0.473493,0.0390747,0.107903,0.126391,0.194545,0.0832665,0.184436,0,0.103507,0.0387226,0,
addmagMid_r,0.0208128,0.0336864,0.396046,0.856258,0.0421254,0.0460366,0.00658407,0.0161073,0,0.0603926,0.00978435,0.0618272,
addmagProx_r,0.010398,0.00249426,0.116134,0.151762,0.0264867,0.0298966,0.0784807,0.0533436,0.0506533,0.0469489,0.00571559,0,
bflh_r,0.176102,0.331735,0,0,0,0.194414,0.251315,0,0.551394,0.0430927,0,0.460075,
bfsh_r,0.173005,0.333591,0,0.00116557,0.00787603,0.194691,0.242826,0,0.536221,0.0398443,0.0046489,0.465719,
edl_r,0.00990073,0,0.0177961,0.0590851,0.0100097,0.0527793,0.00178374,0.202977,0.0234864,0,0.00389111,0.00319053,
ehl_r,0.0012645,0,0.00391806,0.387223,0.00533665,0.0779835,0.000694199,0.107439,0.0814997,0.000445386,0.00177176,0.010406,
fdl_r,0.369421,0.245983,0,0.150146,0.277008,0.0203641,0.00434936,0.0351787,0,0.813026,0.0167877,0.0633206,
fhl_r,0.134142,0.446473,0,0.00312106,0.0136664,4.5827e-05,0.00117457,0.000963199,0,0.696034,0.0216956,0,
gaslat_r,0.0569355,0,0.0243446,0.0545744,0.0158157,0,0.00656611,0,0,0.120795,0.111636,0,
gasmed_r,0,0,0.0274567,0.077094,0,0,0,0.00114008,0.000468223,0.0793452,0.00796142,0,
glmax1_r,0.0296185,0.0471736,0.057285,0.0956867,0.0491014,0.0494799,0.0542636,0.0279965,0.117961,0.033251,0.0263056,0.0448458,
glmax2_r,0.0310809,0.0467536,0.05675,0.0946116,0.0496732,0.0493545,0.0548486,0.028819,0.11733,0.0334093,0.0268956,0.0435572,
glmax3_r,0.0296049,0.0471727,0.0572625,0.0954265,0.0492076,0.0494672,0.0542642,0.0280323,0.117889,0.0334067,0.0263975,0.0448247,
glmed1_r,0,0.163063,0.0565892,0.0102699,0.0571565,0.319142,0,0.158455,0,0.186419,0.0414168,0,
glmed2_r,0.00244145,0.00403854,0.0311397,0.242804,0.00036128,0.0180493,0.00146541,0.00324868,0.00130128,0.0275093,0.022969,0.0044247,
glmed3_r,0,0.189073,0.353192,0.0802724,0.00722347,0.258792,0.0715845,0.0801538,0.000420657,0.370458,0.162251,0,
glmin1_r,0,0.513817,0.0431346,0.000644492,0.013635,0.643662,0.0348193,0.0669856,0.00148305,0.567265,0.531141,0.0440858,
glmin2_r,0,0.502853,0.0110715,0.0653703,0,0.355213,0.0325706,0.0796192,0,0.243706,0.101008,0.0168433,
glmin3_r,0.00806574,0.126253,0.00125307,0.0831483,0,0.150295,0.0954691,0.0724573,0,0.159484,0.0800368,0.00759852,
grac_r,0.0506007,0.00611373,0.293576,0.164465,0.0399808,0.0168441,0.00154409,0.151801,0.0056225,0.0335171,0.031768,0.0363911,
iliacus_r,0.332298,0.00804679,0.0243833,0.0480619,0.0547991,0.00518088,0.0310447,0.0106299,0.499274,0.0509776,0.0414911,0.21333,
