iteration,loss,learning rate,
1,278.477,0.02,
2,257.154,0.02,
3,233.292,0.02,
4,220.73,0.02,
5,212.467,0.02,
6,206.506,0.02,
7,203.962,0.02,
8,200.817,0.02,
9,197.505,0.02,
10,194.434,0.02,
11,192.174,0.02,
12,189.779,0.02,
13,187.372,0.02,
14,183.818,0.02,
15,180.841,0.02,
16,177.783,0.02,
17,174.722,0.02,
18,171.576,0.02,
19,168.574,0.02,
20,165.618,0.02,
21,162.574,0.02,
22,159.908,0.02,
23,158.518,0.02,
24,156.617,0.02,
25,153.652,0.02,
26,151.966,0.02,
27,151.309,0.02,
28,150.281,0.02,
29,150.453,0.02,
30,152.524,0.02,
31,155.212,0.02,
32,159.347,0.02,
33,162.916,0.02,
34,163.719,0.02,
35,162.625,0.02,
36,160.555,0.02,
37,159.231,0.02,
38,158.007,0.02,
39,156.843,0.02,
40,155.566,0.02,
41,154.373,0.02,
42,152.886,0.02,
43,152.958,0.02,
44,150.158,0.02,
45,148.995,0.02,
46,148.452,0.02,
47,147.812,0.02,
48,146.611,0.02,
49,145.516,0.02,
50,144.132,0.02,
51,143.226,0.02,
52,142.098,0.02,
53,140.455,0.02,
54,138.644,0.02,
55,136.799,0.02,
56,135.034,0.02,
57,133.418,0.02,
58,131.991,0.02,
59,130.703,0.02,
60,130.844,0.02,
61,128.678,0.02,
62,127.943,0.02,
63,128.12,0.02,
64,127.848,0.02,
65,127.774,0.02,
66,127.34,0.02,
67,129.698,0.02,
68,134.079,0.02,
69,128.391,0.02,
70,131.384,0.02,
71,130.835,0.02,
72,128.545,0.02,
73,131.687,0.02,
74,128.046,0.02,
75,125.704,0.02,
76,124.128,0.02,
77,123.278,0.02,
78,122.811,0.02,
79,122.078,0.02,
80,121.525,0.02,
81,121.235,0.02,
82,121.258,0.02,
83,121.065,0.02,
84,121.51,0.02,
85,120.46,0.02,
86,120.285,0.02,
87,119.754,0.02,
88,118.718,0.02,
89,138.557,0.02,
90,117.595,0.02,
91,116.782,0.02,
92,115.948,0.02,
93,135.493,0.02,
94,139.82,0.02,
95,140.583,0.02,
96,120.672,0.02,
97,115.926,0.02,
98,116.303,0.02,
99,115.025,0.02,
100,130.757,0.02,
101,116.196,0.02,
102,128.639,0.02,
103,115.478,0.02,
104,115.38,0.02,
105,114.168,0.02,
106,113.092,0.02,
107,112.342,0.02,
108,113.776,0.02,
109,113.046,0.02,
110,112.788,0.02,
111,112.606,0.02,
112,112.564,0.02,
113,112.228,0.02,
114,112.505,0.02,
115,116.25,0.02,
116,113.774,0.02,
117,111.099,0.02,
118,110.29,0.02,
119,111.579,0.02,
120,112.056,0.02,
121,111.973,0.02,
122,110.405,0.02,
123,110.084,0.02,
124,110.533,0.02,
125,109.973,0.02,
126,110.106,0.02,
127,110.407,0.02,
128,110.202,0.02,
129,110.275,0.02,
130,110.386,0.02,
131,110.443,0.02,
132,110.508,0.02,
133,110.479,0.02,
134,110.086,0.02,
135,109.889,0.02,
136,110.006,0.02,
137,110.704,0.02,
138,109.611,0.02,
139,110.075,0.02,
140,109.631,0.02,
141,109.329,0.02,
142,109.803,0.02,
143,129.292,0.02,
144,129.632,0.02,
145,110.75,0.02,
146,110.731,0.02,
147,128.885,0.02,
148,111.016,0.02,
149,111.201,0.02,
150,132.828,0.02,
151,131.231,0.02,
152,129.401,0.02,
153,125.885,0.02,
154,125.735,0.02,
155,112.485,0.02,
156,121.644,0.02,
157,110.569,0.02,
158,109.42,0.02,
159,108.14,0.02,
160,107.693,0.02,
161,130.938,0.02,
162,109.845,0.02,
163,111.242,0.02,
164,110.753,0.02,
165,110.703,0.02,
166,110.061,0.02,
167,111.662,0.02,
168,111.741,0.02,
169,112.519,0.02,
170,112.172,0.02,
171,111.144,0.02,
172,110.875,0.02,
173,204.066,0.02,
174,116.049,0.02,
175,120.525,0.02,
176,121.618,0.02,
177,121.58,0.02,
178,120.284,0.02,
179,118.375,0.02,
180,116.66,0.02,
