mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
glmax3_l,0.00560681,0.213616,0.0172283,0.00893062,0.0102016,0.0153555,0.166906,0.0549633,
glmed1_l,0.0182186,0.0140025,0.0390053,0.018632,0.00407799,0.00942176,0.0321975,0.00505153,
glmed2_l,0.0113827,0.0194057,0.00232925,0.0241417,0.0232635,0.0244849,0.0159148,0.0185867,
glmed3_l,0.0149201,0.0382259,0.0377519,0.0182458,0.0394034,0.00436405,0.0346103,0.0269767,
glmin1_l,0.0150811,0.0308698,0.00686068,0.00995687,0.0380289,0.00475775,0.0218418,0.0305937,
glmin2_l,0.0346848,0.00598083,0.037509,0.0358006,0.0176782,0.00220402,0.037521,1.12928e-05,
glmin3_l,0.0229576,0.0338252,0.0161737,0.0285948,0.0165811,0.00144558,0.000335925,0.00478948,
grac_l,0.0114966,0.0237279,0.00258461,0.0141435,0.00650316,0.0297009,0.0079625,0.0327275,
iliacus_l,0.0239652,0.0131766,0.0100529,0.0321176,0.0306944,0.0062256,0.00665099,0.0024734,
perbrev_l,0.0233698,0.038812,0.0134947,0.0125224,0.0164313,0.0381386,0.0187465,0.0307959,
perlong_l,0.00206624,0.0388574,0.0293308,0.0309443,0.0136695,0.0361989,0.00837771,0.0154633,
piri_l,0.0228249,0.0375988,0.0375761,0.00355086,0.0103683,0.0258009,0.0044841,0.023221,
psoas_l,0.0297374,0.017952,0.031118,0.0103378,0.01456,0.0239575,0.0229215,0.000186139,
recfem_l,3.00509e-12,0.0441255,1.11457e-05,0.060722,7.38009e-26,5.77789e-12,0.00040636,0.0388887,
sart_l,1.27735e-12,0.0441269,1.22753e-05,0.0607251,6.5161e-26,1.08237e-11,0.0004,0.0388881,
semimem_l,6.3265e-06,0.00281373,0.224891,0.000477568,0.00077357,0.00600617,0.00104578,0.0948193,
semiten_l,8.11902e-07,0.00281135,0.224886,0.000446572,0.000678287,0.00608352,0.00105439,0.0948425,
soleus_l,0.0279186,0.0186445,0.0257901,0.0311037,0.0338074,0.0184029,0.00630827,0.00208276,
tfl_l,2.01611e-12,0.0441152,1.15545e-05,0.0606996,4.06875e-26,1.4524e-11,0.000450536,0.0388878,
tibant_l,0.0246617,0.00615423,0.00835056,0.0200734,0.0206803,0.0277467,0.0392042,0.0351686,
tibpost_l,0.00998363,0.015513,0.0372361,0.0368529,0.0168503,0.0130642,0.0286367,0.0163991,
vasint_l,0.0149084,0.0205651,0.0183749,0.0144231,0.00133268,0.0359634,0.0394186,0.00533269,
vaslat_l,0.000781313,0.0850965,3.12072e-07,8.62431e-10,0.00497382,1.55088e-11,1.22512e-23,0.12662,
vasmed_l,0.000290146,0.0851579,2.32949e-07,3.39933e-10,0.00518443,6.86287e-14,3.83693e-24,0.126597,
