name,body,location
ASIS_r,pelvis,[ 0.00000000000000001 -0.00000000000000002  0.12638648192508553]
ASIS_l,pelvis,[-0.00000000000000001  0.00000000000000002 -0.12638648192508553]
PSIS_r,pelvis,[-0.13499569628743863  0.01717167183386466  0.04293444412886989]
PSIS_l,pelvis,[-0.1351406128019653   0.01695925068691691 -0.0464786622897419 ]
femur_l_center_in_pelvis,pelvis,[-0.05101041226046901 -0.07443927154800851 -0.08404905795881991]
femur_r_center_in_pelvis,pelvis,[-0.05283324864252924 -0.0738483852460888   0.08035073062473638]
ilium_r,pelvis,[-0.06411878386492602  0.06953220718963803  0.10390204821951968]
ilium_l,pelvis,[-0.06562581179957269  0.0693857999796017  -0.10167806382324383]
isch_spine_r,pelvis,[-0.10328022471424049 -0.06498345293499266  0.05346025378385014]
isch_spine_l,pelvis,[-0.10246025888933466 -0.06531286152986433 -0.05913495902700892]
isch_tuber_r,pelvis,[-0.10538897270431608 -0.10152607941273274  0.04858446604671234]
isch_tuber_l,pelvis,[-0.10406175734522262 -0.10142996270815936 -0.05500235224812584]
isch_infer_r,pelvis,[-0.06065157471730283 -0.13248210465459115  0.03469219744033895]
isch_infer_l,pelvis,[-0.05833799104778788 -0.13191765452736984 -0.03906910978200519]
pub_infer_c,pelvis,[-0.02025658551864942 -0.10630779491519698 -0.00126241962081344]
torso_origin_in_pelvis,pelvis,[-0.09073645045160163  0.05841809025193992  0.00255365795639982]
pub_super_c,pelvis,[-0.00000000000000006 -0.08286012390706245 -0.00077147398576818]
sacroiliac_r,pelvis,[-0.1179586899304725   0.00901345692997554  0.03946415112279697]
sacroiliac_l,pelvis,[-0.11807471576497129  0.00880696165044633 -0.04261399878904601]
5th_sacr_v,pelvis,[-0.12606182082924236 -0.05827736705132174 -0.00352157615398639]
AIIS_r,pelvis,[-0.02436404421792307 -0.03524040798360645  0.09404357224182215]
AIIS_l,pelvis,[-0.02365974756968807 -0.03510156554148667 -0.09583878786566753]
knee_l_med,femur_l,[ 0.00000000000000006 -0.39186046033013294  0.04318005722278122]
knee_l_lat,femur_l,[ 0.00000000000000007 -0.39102591882182414 -0.0431800572227813 ]
