mtu,synergy1,synergy2,synergy3,synergy4,synergy5,synergy6,synergy7,synergy8,
glmax3_l,0.0396163,0.324482,0.0217817,0.00159762,9.39003e-09,0.114368,1.13062e-05,0.00608986,
glmed1_l,0.0605897,0.0497782,0.0374538,0.0567377,0.00117975,0.0536199,0.00558247,0.0264826,
glmed2_l,0.0289599,0.0448559,0.0282875,0.0356194,0.0471123,0.0581742,0.0199107,0.0288039,
glmed3_l,0.0496657,0.0336516,0.00957157,0.0363938,0.0203351,0.00791609,0.0450381,0.0458542,
glmin1_l,0.0462547,0.0609765,0.0128395,0.00410349,0.0609566,0.0329437,0.00462755,0.0414383,
glmin2_l,0.0452101,0.0191698,0.00633909,0.00638178,0.011137,0.0599556,0.027437,0.0225105,
glmin3_l,0.0193554,0.00846205,0.0209341,0.0555894,0.021269,0.0253283,0.0317928,0.0171166,
grac_l,0.0455329,0.0389838,0.00133788,0.0543219,0.0240839,0.0274994,0.0343248,0.000827075,
iliacus_l,0.000124654,0.00487232,0.0481727,0.0244809,0.0153376,0.0608239,0.00813728,0.0392591,
perbrev_l,0.00546719,0.00635218,0.000963834,0.056253,0.0209229,0.00213997,0.00162022,0.0398458,
perlong_l,0.0291383,0.0397565,0.0491953,0.0381024,0.0507088,0.0477842,0.0099531,0.030849,
piri_l,0.0357109,0.0207786,0.0239991,0.0172007,0.0519004,0.0327175,0.00257347,0.0511997,
psoas_l,0.049066,0.00859826,0.0466054,0.0354622,0.0491329,0.0168724,0.0566872,0.0313711,
recfem_l,1.70394e-05,1.39766e-05,7.47753e-06,0.0744362,0.18013,0.314112,0.000112594,0.00102169,
sart_l,1.72926e-05,1.39767e-05,7.42077e-06,0.0744362,0.180131,0.314112,0.000112441,0.00102141,
semimem_l,0.0584591,4.62382e-10,0.111312,0.000597535,1.72745e-20,0.0334959,0.113839,3.11164e-06,
semiten_l,0.0584591,4.56581e-10,0.111312,0.000597538,1.61843e-20,0.0334959,0.113839,3.11026e-06,
soleus_l,0.0436883,0.0329888,0.00204033,0.0468343,0.0416549,0.00776374,0.01177,0.045598,
tfl_l,1.72148e-05,1.39804e-05,7.23284e-06,0.0744363,0.180131,0.314112,0.000112512,0.00102161,
tibant_l,0.0515709,0.00875054,0.0451852,0.0529974,0.0444036,0.0476871,0.00699612,0.0323322,
tibpost_l,0.0105562,0.01574,0.0319917,0.0352381,0.0364521,0.0365207,0.0299254,0.0473438,
vasint_l,0.00941571,0.062013,0.027956,0.0569458,0.0330245,0.0259061,0.0501797,0.0133402,
vaslat_l,0.336743,0.000504986,0.000493434,3.37785e-06,0.0944271,1.47039e-08,0.00822356,0.0489878,
vasmed_l,0.336745,0.000502266,0.000502899,3.31271e-06,0.0944276,1.82966e-08,0.00822194,0.0489834,
