time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,quad_fem_r,obt_internus1_r,obt_internus2_r,obt_internus3_r,obt_externus1_r,obt_externus2_r,obt_externus3_r,gemelli_sup_r,gemelli_inf_r,pect_r,quad_fem_l,obt_internus1_l,obt_internus2_l,obt_internus3_l,obt_externus1_l,obt_externus2_l,obt_externus3_l,gemelli_sup_l,gemelli_inf_l,pect_l,
0.05,0.00945559,0.013603,0.0161077,0.00753441,0.0146673,0.0428129,0.011182,0.010869,0.00764525,0.0118782,0.0265364,0.0302369,0.00467905,0.00787395,0.0398283,0.0264131,0.0264727,0.000178421,0.000393789,6.64288e-05,0.000922422,0.000506119,0.0242022,0.00286191,0.013499,0.00660681,0.00348055,0.0256351,0.0367771,0.0100207,0.0206748,0.0111354,0.0388743,0.00494513,0.0145866,0.0114244,0.0300361,0.0535484,0.0202045,0.0217943,0.0135345,0.00649893,0.00325375,0.00394689,0.0153232,0.09512,0.0304909,0.0550752,0.0174109,0.015383,0.0425664,0.0371676,0.022944,0.0284051,0.0299905,0.0302886,0.0334508,0.000129946,0.000469809,0.000582628,0.000252805,0.00447291,0.023637,0.00643799,0.0186542,0.100372,0.116689,0.0224065,0.121004,0.0217028,0.0341264,0.0301226,0.0442698,0.0583845,0.0240176,0.017154,0.0274262,0.0637659,0.0485859,0.0530524,0.0584665,0.00769829,0.00419901,0.00743086,0.167409,0.176625,0.127563,0.0040819,0.013219,0.0206656,0.0257926,0.00657684,0.00722364,0.00543753,0.181281,0.182784,0.165619,0.00468945,0.0176398,0.0230145,
0.055,0.00947797,0.0131796,0.0155202,0.00707384,0.0144884,0.0390103,0.0115947,0.0114521,0.00755368,0.011884,0.0257159,0.0294992,0.00478684,0.00759506,0.0378011,0.0264131,0.0264131,0.000171702,0.000366376,7.58513e-05,0.00090407,0.000462725,0.0235222,0.00268304,0.0138839,0.00628822,0.00413025,0.0250997,0.0346618,0.0105817,0.0200317,0.0115658,0.0391128,0.00485648,0.0143056,0.0113293,0.0293638,0.0522171,0.0209189,0.022565,0.0136537,0.0064393,0.00308539,0.00386186,0.0147865,0.0917103,0.0305795,0.0527172,0.017052,0.0150458,0.0413399,0.0362537,0.022425,0.0277014,0.0307656,0.0310637,0.0329777,0.000157526,0.000489826,0.000504974,0.000227573,0.00471599,0.0229685,0.0061957,0.0181772,0.099828,0.115554,0.0218664,0.118542,0.0206892,0.0325312,0.0307498,0.0423329,0.0567383,0.0228775,0.0168255,0.0264069,0.0619524,0.0458501,0.0498834,0.0574489,0.00791523,0.00458454,0.0079518,0.162353,0.170177,0.122951,0.00416926,0.0124998,0.0195563,0.0253081,0.00643133,0.00678758,0.00531556,0.173934,0.172293,0.15927,0.00492369,0.0173024,0.0227164,
0.06,0.00943226,0.0136846,0.0164495,0.00746486,0.0154424,0.0426402,0.0120186,0.0119258,0.00786394,0.0123005,0.0271597,0.0300362,0.00516648,0.00792982,0.0359528,0.0263534,0.0262342,0.000176928,0.000422255,9.04562e-05,0.00092701,0.00056541,0.0243564,0.00274267,0.0141626,0.00800607,0.00489378,0.0250844,0.0350579,0.0111739,0.0194099,0.0120018,0.0391724,0.0055424,0.0141603,0.0115139,0.0298139,0.0531584,0.0217718,0.0234847,0.0140114,0.00649893,0.0029806,0.00388025,0.0144288,0.0933104,0.0307177,0.0504455,0.0176839,0.0152627,0.0435176,0.0371779,0.0222087,0.0275402,0.0312425,0.031481,0.0326465,0.000192002,0.000533981,0.000492855,0.000266877,0.00528601,0.0235948,0.00602264,0.0184054,0.106799,0.123735,0.0222223,0.11906,0.0198545,0.0311788,0.0310865,0.0405834,0.058548,0.0220793,0.0171831,0.0267841,0.0634149,0.0429825,0.0466377,0.0635721,0.00922101,0.00494538,0.00861175,0.169012,0.177269,0.129754,0.00455915,0.0128158,0.0196555,0.0255417,0.00675599,0.00717805,0.00536593,0.186605,0.190364,0.166673,0.00549679,0.0180627,0.0225972,
0.065,0.00951272,0.0150326,0.0181558,0.00822234,0.0168734,0.0461905,0.012409,0.012272,0.00822095,0.0129899,0.0295679,0.0319844,0.0053573,0.0085714,0.034343,0.0261746,0.0260553,0.000191859,0.000453885,8.85717e-05,0.000980871,0.000628997,0.0264145,0.00286191,0.0142124,0.00802388,0.00468172,0.0258328,0.037112,0.0117475,0.0188269,0.0123985,0.0389936,0.00590623,0.0141279,0.012359,0.0315131,0.0563173,0.0227721,0.0245629,0.0143096,0.00655855,0.00293937,0.00410087,0.0144288,0.100656,0.030807,0.0482824,0.0189222,0.016392,0.0481772,0.0397608,0.022526,0.0279269,0.0313022,0.0314214,0.0323626,0.000175029,0.000559885,0.000583077,0.000308606,0.00562951,0.0252888,0.00602264,0.0193199,0.116744,0.132517,0.0236289,0.125011,0.0191987,0.0301415,0.0310957,0.0390047,0.062582,0.0216011,0.0184478,0.0287963,0.0679018,0.0402747,0.0436756,0.0710158,0.0098187,0.00561317,0.00972733,0.18298,0.193784,0.141768,0.00522592,0.0134715,0.020718,0.0264955,0.00736984,0.00807921,0.00551413,0.205987,0.212555,0.182599,0.00565511,0.0197091,0.0234319,
0.07,0.00979074,0.0155075,0.0183296,0.00842722,0.0167541,0.0470506,0.0127411,0.0125028,0.00832798,0.0130463,0.0302137,0.0332391,0.00515929,0.00878485,0.0329716,0.0260553,0.0258168,0.000206043,0.000428581,7.63224e-05,0.000985659,0.00058904,0.0272328,0.00304078,0.0141377,0.00730142,0.00428549,0.0265578,0.0396787,0.0122599,0.0182901,0.0127329,0.0387551,0.00556936,0.0141795,0.0127569,0.0326491,0.0579577,0.0239098,0.025789,0.0141903,0.00661817,0.00292906,0.00426956,0.0145481,0.105271,0.0307817,0.0462373,0.0193559,0.0171306,0.0488189,0.0411246,0.0230087,0.0283102,0.0309444,0.0308848,0.0320078,0.000146918,0.000521029,0.000673748,0.000313459,0.00520271,0.0262378,0.00609186,0.0200345,0.114059,0.130385,0.0246055,0.130785,0.0188409,0.0294204,0.0307945,0.0375718,0.0643742,0.0213688,0.0191745,0.0304231,0.0700763,0.0380786,0.0414149,0.0697631,0.00919946,0.00510389,0.00908852,0.187634,0.199491,0.145046,0.00523505,0.0137566,0.0217813,0.0271248,0.00756673,0.00845607,0.00553161,0.207404,0.21001,0.187335,0.00532551,0.0202254,0.0248032,
0.075,0.00925374,0.0161272,0.0192407,0.00900647,0.0171715,0.0470342,0.0130107,0.0126455,0.00849219,0.0132302,0.0306651,0.0344217,0.00504791,0.00905712,0.0317195,0.0258765,0.025638,0.000203057,0.000489732,6.92555e-05,0.00103014,0.000694732,0.0282336,0.00316003,0.01364,0.00761413,0.00399706,0.0274106,0.0397234,0.0126805,0.0178001,0.0130009,0.0383377,0.00593282,0.0142842,0.0132752,0.0339817,0.0599945,0.0251298,0.027103,0.0138922,0.00661817,0.00293937,0.00455637,0.0148462,0.109129,0.0306052,0.0443061,0.0200459,0.0178873,0.0507013,0.04249,0.0236205,0.0287345,0.030229,0.0300501,0.0315346,0.00012199,0.00056695,0.000731651,0.000344028,0.00530484,0.0270794,0.00623031,0.0202705,0.120222,0.134609,0.0255972,0.136059,0.0186024,0.0289707,0.0302358,0.0362535,0.0664545,0.0212999,0.0198286,0.0317397,0.0729353,0.0367577,0.0402684,0.0733848,0.00998989,0.00549498,0.00974164,0.193362,0.207122,0.148091,0.00545542,0.0140116,0.0209287,0.0278558,0.00779954,0.00886308,0.0056003,0.217324,0.222265,0.1957,0.00526718,0.0209203,0.0257572,
0.08,0.00800788,0.0167198,0.0198605,0.0092126,0.0172907,0.0399646,0.0132287,0.0127488,0.00855903,0.0134647,0.0300708,0.0350659,0.00483554,0.00900468,0.0307059,0.0256976,0.0253995,0.000203057,0.000498167,6.87844e-05,0.00110435,0.000692155,0.0288492,0.00298116,0.0126297,0.0062162,0.00371591,0.0282295,0.0354737,0.0129871,0.0173538,0.0132165,0.0378607,0.00569938,0.0144119,0.013958,0.0351056,0.0615928,0.0263345,0.0283998,0.0126997,0.00620081,0.00292047,0.0049296,0.0152635,0.108824,0.0302728,0.0424825,0.0205896,0.0185405,0.0522353,0.0432551,0.0243906,0.0289466,0.029275,0.0289769,0.0309669,0.000117217,0.00066468,0.0007716,0.000317826,0.00559071,0.0273174,0.00643799,0.0189517,0.127281,0.13636,0.0262098,0.138766,0.0185428,0.0287263,0.0294935,0.0350289,0.0670898,0.021321,0.0204987,0.0322183,0.0748563,0.0366545,0.0406119,0.0754187,0.0102703,0.00606057,0.0106292,0.194617,0.209617,0.144955,0.0054589,0.0135018,0.0184246,0.0289026,0.00817512,0.00906236,0.0057818,0.219909,0.221942,0.19926,0.00531995,0.0219848,0.0255783,
0.085,0.00778032,0.0165648,0.0200362,0.00957156,0.0168734,0.0413446,0.0134184,0.0128551,0.00854165,0.0133853,0.029443,0.0351256,0.00467706,0.00880127,0.029752,0.0254591,0.025161,0.000190366,0.00053085,5.74774e-05,0.00114844,0.000741993,0.0287795,0.00292154,0.0120408,0.00650314,0.00343185,0.0287227,0.0345881,0.0131665,0.0169439,0.0134032,0.0372645,0.00587668,0.0145349,0.0141566,0.0355808,0.0620502,0.0274031,0.029549,0.0122824,0.00596232,0.00289642,0.00517826,0.0156809,0.108208,0.0298032,0.0407595,0.0206946,0.0188391,0.0514173,0.0432438,0.0249308,0.0290023,0.0282018,0.0277844,0.0302572,9.54705e-05,0.000688818,0.000764419,0.000339661,0.00530256,0.0271654,0.00657644,0.0184557,0.127264,0.135463,0.0264307,0.139659,0.0184832,0.0286153,0.0286543,0.033875,0.0669929,0.0213719,0.0204306,0.0321386,0.0753682,0.0380581,0.0427463,0.0734951,0.0103957,0.00561421,0.0102069,0.192722,0.208331,0.142213,0.00556365,0.0133507,0.0186428,0.0293978,0.00804599,0.0088947,0.00591917,0.219314,0.221043,0.199078,0.00529958,0.0217081,0.0253399,
0.09,0.00698767,0.0159951,0.019411,0.00955616,0.0157405,0.0372768,0.0136092,0.01301,0.0084551,0.0129082,0.0273443,0.0341023,0.00427266,0.00840721,0.0289769,0.0252206,0.0248629,0.000174688,0.000548774,5.04105e-05,0.00117018,0.000748438,0.0278129,0.00280229,0.0111483,0.00578655,0.00308744,0.0286929,0.0319886,0.0132127,0.0165613,0.0135922,0.0366086,0.00554683,0.014629,0.0138733,0.0351018,0.0607028,0.0282147,0.0304206,0.0113284,0.00560458,0.0028466,0.0053497,0.0159194,0.103919,0.0292349,0.0391328,0.0202253,0.0185272,0.0489507,0.0418455,0.0251468,0.0285671,0.0271285,0.0266516,0.0294765,7.74372e-05,0.000719432,0.000772947,0.000329956,0.00493453,0.026235,0.00668028,0.017272,0.121819,0.130439,0.0259248,0.137174,0.0184832,0.028566,0.0278113,0.0327837,0.065048,0.0213984,0.0198302,0.0314514,0.0735461,0.0411765,0.0468707,0.0699116,0.0102945,0.00517064,0.00958427,0.184315,0.199823,0.132919,0.00517333,0.0127801,0.016948,0.0292075,0.00781636,0.00860093,0.00593666,0.211178,0.210338,0.192887,0.00493109,0.0208514,0.0245051,
0.095,0.00645448,0.0153713,0.0183945,0.00944081,0.0143692,0.0339853,0.013833,0.0132529,0.00852233,0.0124199,0.0251201,0.032579,0.00391138,0.0079134,0.0282614,0.0248629,0.0243859,0.000161251,0.000575132,4.80549e-05,0.00117537,0.000768631,0.0266794,0.00268304,0.010405,0.00529341,0.00311844,0.0282822,0.0294424,0.0131281,0.0161982,0.0138158,0.0359528,0.00534626,0.0146751,0.0134786,0.0340462,0.0583119,0.0286603,0.0308971,0.0104937,0.00524684,0.00277273,0.00545312,0.0160983,0.0980145,0.0286215,0.0376036,0.0196484,0.0181032,0.0463098,0.0399298,0.0250851,0.0277356,0.0261746,0.0257572,0.0286958,7.63764e-05,0.000773596,0.000777436,0.000316855,0.00455964,0.0251059,0.00678412,0.0158878,0.116655,0.125894,0.0251284,0.132576,0.0184832,0.0285114,0.027054,0.0317528,0.0626567,0.0213552,0.0190789,0.0306271,0.0704419,0.0461086,0.0530475,0.0659252,0.0105988,0.00465232,0.00895261,0.173532,0.188242,0.122326,0.00483212,0.0121095,0.0159614,0.0285587,0.00768359,0.00825863,0.00593583,0.202579,0.200501,0.184846,0.00472648,0.0198235,0.0233127,
