time,addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l,quad_fem_r,obt_internus1_r,obt_internus2_r,obt_internus3_r,obt_externus1_r,obt_externus2_r,obt_externus3_r,gemelli_sup_r,gemelli_inf_r,pect_r,quad_fem_l,obt_internus1_l,obt_internus2_l,obt_internus3_l,obt_externus1_l,obt_externus2_l,obt_externus3_l,gemelli_sup_l,gemelli_inf_l,pect_l,
0.05,9.45179,1.4565,0.878962,0,7.80541,48.1588,0,0.0247257,0,0.00606856,0.0172096,0.00709655,1.59441,15.1369,70.0791,59.0123,32.1993,0.237445,0.0444235,0,0.860375,0.901105,0.45592,0.78723,196.466,291.134,812.594,0.090361,137.639,0,13.9733,0,0,0,13.4045,0.0637152,0.106073,0,21.9724,38.4025,17.9353,3.7889,0.221045,0,2.78756,76.9076,0,11.287,0,0,380.449,7.16269,0,0.0331855,50.3906,79.9721,21.701,0,0,0,0,0,0,0.11299,36.1723,563.796,1627.01,0,443.537,0,122.804,0,0,0,0,0,0.202546,0,0,0,7.06437,0.016892,0,0,39.6305,32.5627,134.39,0,0,6.07326,0.047498,0,0,0,39.6501,22.3334,38.9673,0,0,9.94294,
0.055,9.58971,1.47337,0.861661,0,7.78461,44.8424,0,0.0311441,0,0.00483575,0.0174602,0.0056331,1.65014,15.207,66.5144,59.1659,32.3329,0.25605,0.0456693,0,0.819236,0.802823,0.416773,0.811011,197.188,290.752,812.962,0.0853481,133.512,0,13.6237,0,0,0,12.8989,0.0530893,0.109318,0,21.4839,38.7739,17.9441,3.6694,0.196653,0,2.61708,74.1274,0,10.7222,0,0,380.227,7.09313,0,0.00506468,51.7853,82.2633,21.301,0,0,0,0,0,0,0.0988278,35.5201,563.176,1624.71,0,437.62,0,121.942,0,0,0,0,0,0.210889,0,0,0,6.92276,0.0150735,0,0,38.415,31.2591,133.434,0,0,5.7887,0.0195793,0,0,0,38.0757,20.8833,37.476,0,0,9.79775,
0.06,9.52172,1.49031,0.885378,0,8.17982,47.8987,0,0.0240757,0,0.00375192,0.0177612,0.00416483,1.64227,15.4285,63.2656,59.1482,32.1556,0.28691,0.0505922,0,0.834805,0.833523,0.399994,0.7862,197.804,292.004,813.637,0.0831662,133.699,0,13.2649,0,0,0,12.6521,0.0446357,0.11296,0,23.8328,41.3598,18.3587,3.64105,0.1837,0,2.53902,75.1677,0,10.3342,0,0,380.347,7.07292,0,0,52.778,83.8347,21.1188,0,0,0,0,0,0,0.0939141,35.7899,565.555,1629.48,0,437.769,0,121.204,0,0,0,0,0,0.219146,0,0,0,7.70397,0.0154459,0,0,39.7494,32.6335,134.642,0,0,5.78754,0.0152181,0,0,0,40.5463,23.3679,38.9497,0,0,9.73917,
0.065,9.62013,1.61127,1.02328,0,8.99211,51.8735,0,0.0191973,0,0.00234547,0.0175761,0.00227728,1.67534,16.0428,60.4365,58.9107,32.0349,0.3142,0.0549518,0,0.865945,0.845725,0.371056,0.800249,197.957,292.009,813.144,0.0772344,138.634,0,12.9375,0,0,0,12.4562,0.0338601,0.113812,0,25.3131,43.3472,18.6778,3.60472,0.166991,0,2.49163,80.7907,0,9.90164,0,0,380.921,7.1447,0,0,53.1074,84.2676,20.9307,0,0,0,0.0102861,0,0,0.0873988,37.3694,570.45,1637.9,0,452.622,0,120.629,0,0,0,0,0,0.229393,0,0,0,8.66248,0.0156382,0,0,42.9124,35.8959,137.012,0,0,6.09806,0.00424862,0,0,0,44.7543,26.5031,42.5143,0,0,10.0603,
0.07,9.91571,1.7399,1.11442,0,9.14181,53.3511,0,0.0151592,0,0.000647572,0.0169699,0,1.70913,16.7399,58.0194,58.7355,31.8515,0.33737,0.0587153,0,0.863222,0.801593,0.334859,0.844727,197.802,291.254,812.257,0.0683727,145.737,0,12.6359,0,0,0,12.3223,0.0215771,0.111898,0,26.6722,45.4562,18.5043,3.56667,0.148555,0,2.46311,84.7151,0,9.45859,0,0,381.493,7.25209,0,0,52.7337,83.4523,20.702,0,0,0,0.0257748,0,0,0.0804117,38.7885,571.732,1640,0,469.802,0,120.224,0,0,0,0,0,0.23972,0,0,0,8.49895,0.0146229,0,0,44.2356,37.0161,137.797,0,0,6.42442,0,0,0,0,45.4585,26.1116,43.881,0,0,10.6183,
0.075,9.47309,1.87269,1.20634,0,9.3981,53.6053,0,0.0115748,0,0,0.0159992,0,1.74635,17.5019,55.8389,58.448,31.7185,0.353686,0.0613033,0,0.883606,0.818695,0.293118,0.901107,196.843,291.399,811.527,0.0574963,147.231,0,12.3575,0,0,0,12.2511,0.00774607,0.107937,0,28.1729,47.7877,18.0746,3.51079,0.128882,0,2.46077,87.9193,0,9.03447,0,0,381.955,7.38161,0,0,51.7178,81.6772,20.3933,0,0,0,0.0508854,0,0,0.0735292,39.3766,574.565,1643.78,0,486.114,0,119.966,0,0,0,0,0,0.251286,0,0,0,8.96883,0.0145719,0,0,45.6045,38.5338,138.396,0,0,6.20164,0,0,0,0,47.5531,27.8659,45.8015,0,0,11.0161,
0.08,8.27447,2.00534,1.29171,0,9.54576,46.6561,0,0.00760505,0,0,0.0146813,0,1.77187,18.1241,54.0295,58.1213,31.513,0.362509,0.0625265,0,0.924344,0.791236,0.249636,0.922552,194.839,290.102,810.884,0.0454889,137.067,0,12.1035,0,0,0,12.2288,0,0.101687,0,29.7886,50.2143,16.5854,3.30845,0.109093,0,2.48306,87.8827,0,8.63152,0,0,382.414,7.50958,0,0,50.235,79.146,20.0186,0,0,0,0.0402176,0,0,0.0675209,37.2081,578.463,1646.62,0,495.986,0,119.82,0,0,0,0,0,0.263261,0,0,0,9.23392,0.0143978,0,0,46.0125,39.0232,137.806,0,0,5.47296,0,0,0,0,48.2949,27.8012,46.7543,0,0,10.9437,
0.085,7.95753,2.07735,1.34207,0,9.40947,47.1655,0,0.0029902,0,0,0.0131541,0,1.78649,18.5236,52.3598,57.661,31.2838,0.363851,0.0621035,0,0.946827,0.78442,0.207375,0.930559,193.425,290.219,810.285,0.0323453,133.034,0,11.8698,0,0,0,12.2464,0,0.094081,0,31.4632,52.5462,15.916,3.12729,0.0902369,0,2.51507,87.3378,0,8.26538,0,0,382.581,7.60791,0,0,48.4834,76.1379,19.5544,0,0,0,0.036743,0,0,0.062464,36.0842,580.316,1647.17,0,500.125,0,119.749,0,0,0,0,0,0.274495,0,0,0,8.97896,0.0140868,0,0,45.6338,38.7404,137.192,0,0,5.50262,0,0,0,0,48.2379,27.6526,46.7998,0,0,10.8289,
0.09,7.1933,2.06923,1.32937,0,8.86654,43.1817,0,0,0,0,0.0114765,0,1.76939,18.6071,50.9823,57.1829,30.9752,0.364096,0.0619042,0,0.958725,0.769744,0.171126,0.921418,191.551,289.552,809.623,0.0196306,125.77,0,11.6538,0,0,0,12.2761,0,0.0859053,0,32.8634,54.4292,14.7038,2.91689,0.0742425,0,2.53551,83.9417,0,7.92036,0,0,382.369,7.63181,0,0,46.6905,73.1372,19.0569,0,0,0,0.0750007,0,0,0.0582187,33.9057,579.031,1643.8,0,494.719,0,119.709,0,0,0,0,0,0.285301,0,0,0,8.51007,0.0136096,0,0,43.7424,37.0047,135.289,0,0,5.02024,0,0,0,0,46.536,26.088,45.4449,0,0,10.4694,
0.095,6.62207,2.01737,1.2754,0,8.14005,39.3794,0,0,0,0,0.00976355,0,1.73057,18.3933,49.7348,56.4763,30.4555,0.363838,0.0616976,0,0.960015,0.762895,0.140102,0.901917,189.873,289.028,809.514,0.00679844,118.107,0,11.4492,0,0,0,12.3006,0,0.0771716,0,33.8591,55.6505,13.5865,2.69828,0.0603047,0,2.54808,79.0762,0,7.59807,0,0,381.958,7.57899,0,0,45.0517,70.5996,18.5553,0.0730788,0,0,0.156315,0,0,0.0546451,31.2502,576.525,1639.17,0,482.103,0,119.668,0,0,0,0,0,0.294498,0,0,0,7.99294,0.0134487,0,0,41.1757,34.6707,133.014,0,0,4.71326,0,0,0,0,44.5685,24.6704,43.5397,0,0,9.95274,
0.1,6.50683,1.98522,1.26484,0,7.8922,38.6353,0,0,0,0,0.00795329,0,1.70364,18.1528,48.5969,55.5008,29.774,0.362765,0.0614436,0,0.98163,0.786985,0.113425,0.884266,189.313,289.57,810.395,0,111.917,0,11.2512,0,0,0,12.298,0,0.068084,0,34.2934,56.0171,13.3824,2.51792,0.0481528,0,2.55251,75.6899,0,7.29067,0,0,381.703,7.50172,0,0,43.7703,68.7722,18.0682,0.00655799,0,0.014345,0.203729,0,0,0.0514363,29.4758,576.435,1640.23,0,469.11,0,119.596,0,0,0,0,0,0.302761,0,0,0,8.12008,0.0144259,0,0,39.9387,33.5843,131.928,0,0,4.64733,0,0,0,0,44.6811,25.0697,42.9781,0,0,9.35698,
