iteration,loss,learning rate,
1,243.673,0.02,
2,202.91,0.02,
3,175.273,0.02,
4,161.148,0.02,
5,152.822,0.02,
6,146.207,0.02,
7,140.876,0.02,
8,136.049,0.02,
9,130.881,0.02,
10,126.126,0.02,
11,122.221,0.02,
12,119.792,0.02,
13,117.999,0.02,
14,115.511,0.02,
15,111.857,0.02,
16,108.058,0.02,
17,104.882,0.02,
18,102.343,0.02,
19,100.559,0.02,
20,98.7405,0.02,
21,96.573,0.02,
22,94.1467,0.02,
23,91.8067,0.02,
24,90.0469,0.02,
25,88.8324,0.02,
26,86.8577,0.02,
27,84.3858,0.02,
28,82.7169,0.02,
29,80.9001,0.02,
30,79.1535,0.02,
31,77.7536,0.02,
32,76.7084,0.02,
33,76.4117,0.02,
34,76.9938,0.02,
35,78.1476,0.02,
36,79.3982,0.02,
37,80.181,0.02,
38,80.4384,0.02,
39,79.3846,0.02,
40,77.5111,0.02,
41,75.1771,0.02,
42,73.3564,0.02,
43,73.763,0.02,
44,71.349,0.02,
45,69.7529,0.02,
46,68.5578,0.02,
47,67.4897,0.02,
48,66.7453,0.02,
49,66.5601,0.02,
50,66.3774,0.02,
51,65.5508,0.02,
52,64.655,0.02,
53,63.984,0.02,
54,63.746,0.02,
55,67.4851,0.02,
56,67.3942,0.02,
57,66.6715,0.02,
58,66.2559,0.02,
59,66.1211,0.02,
60,65.2839,0.02,
61,65.1909,0.02,
62,64.6684,0.02,
63,64.348,0.02,
64,64.0355,0.02,
65,64.6568,0.02,
66,63.8322,0.02,
67,63.2539,0.02,
68,62.4816,0.02,
69,62.0697,0.02,
70,62.6418,0.02,
71,61.9462,0.02,
72,61.4714,0.02,
73,61.064,0.02,
74,60.6794,0.02,
75,60.4462,0.02,
76,59.8645,0.02,
77,59.8163,0.02,
78,73.0979,0.02,
79,62.3128,0.02,
80,70.9185,0.02,
81,89.1055,0.02,
82,84.6924,0.02,
83,80.2985,0.02,
84,76.8106,0.02,
85,73.9032,0.02,
86,70.9054,0.02,
87,67.3494,0.02,
88,67.6728,0.02,
89,67.3119,0.02,
90,65.9483,0.02,
91,67.3958,0.02,
92,66.9091,0.02,
93,83.2767,0.02,
94,64.7618,0.02,
95,65.6026,0.02,
96,76.8307,0.02,
