,t0,tf,p_l
0,0.145,0.40800000000000003,[-0.27014519  0.          0.05987137]
1,,,[0. 0. 0.]
2,0.512,0.767,[0.10765725 0.         0.08455489]
3,,,[0. 0. 0.]
4,0.858,,[0.22736579 0.         0.02261451]
