,t0,tf,p_l
0,0.082,0.6900000000000001,[-0.27304441  0.          0.07909554]
1,0.5660000000000001,1.188,[-0.06514584  0.          0.05597027]
2,1.064,1.673,[0.13409864 0.         0.06380185]
3,1.5350000000000001,2.166,[0.34280028 0.         0.03291731]
4,2.0380000000000003,,[0.2386973  0.         0.02809837]
